	sch	sch_comment	wmo	wmo_comment	min_date	max_date	station
905	RZ3	RZ3 Russia/USSR MRZ-3A 1780 MHz radiosonde {1986} 31313=52703 (moist)  (W3=27, T=233) [F=T1780PL,P=0,T=TR(MMT-1),U=G,W=Ta]	88	MARL-A or Vektor-M-MRZ (Russian Federation)              	2012-12-31	2013-01-01	0-20000-0-24125
938	VC_	VC_ Vaisala RS80 DigiCORA I, II, or Marwin base case 31313=96199  (W3=61) [F=T403FL or 1680AL,P=Ac,T=CB,U=A]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20001-0-71823
996	RRA	RRA USSR MARS-2-1 radiosonde {1983} 31313=72803  (W3=28, T=224, 31313=72803) used with Meteor and Meteorit-1 radar [F=T1780PL,P=0,T=TR,U=G,W=Ta]	27	AVK-MRZ (Russian Federation)                	2012-12-31	2013-01-01	0-20000-0-30965
1010	V8A	V8A Vaisala RS80 A-Humicap unspecified model {1981} WMO instr=37  (assume W2=04 or 14, W3=37) [F=T403FL or 1680AL,P=Ac,T=CB,U=A]	117	Graw DFM-09 (Germany)                            	2012-12-29	2013-01-01	0-20000-0-76805
1013	VHg	VHg Vaisala RS80-15GH H-Humicap GPS radiosonde  [F=T403FL,P=Ac,T=CB,U=A,N=G]	80	Vaisala RS92/Digicora III (Finland)               	2012-10-30	2013-01-18	0-20001-0-08495
1044	UA5	UA5 USA AIR IS-5A-4035G Intellisonde GPS capacitive hygrometer {1995} 31313=04608  [F=T403DL,P=Ac,T=TB,U=A,N=Gc]	57	Modem M2K2-DC (France)                	2012-12-29	2013-01-01	0-20000-0-62414
1070	RZ3	RZ3 Russia/USSR MRZ-3A 1780 MHz radiosonde {1986} 31313=52703 (moist)  (W3=27, T=233) [F=T1780PL,P=0,T=TR(MMT-1),U=G,W=Ta]	58	AVK-BAR (Russian Federation)                	2012-12-31	2013-01-01	0-20000-0-34858
1078	V8A	V8A Vaisala RS80 A-Humicap unspecified model {1981} WMO instr=37  (assume W2=04 or 14, W3=37) [F=T403FL or 1680AL,P=Ac,T=CB,U=A]	177	Modem GPSonde M10 (France)                           	2012-12-30	2013-01-01	0-20000-0-91925
1081	XXX	XXX Reject all obs with this station ID in this period  misidentified or erroneous observations which should be rejected	89	MARL-A or Vektor-M-BAR (Russian Federation)              	2012-12-31	2013-01-01	0-20000-0-28952
1082	VNg	VNg Vaisala RS92 DigiCORA III auto corr, GPS wind 31313=48008  [F=T400-406DL,P=Sc,T=Wc,U=2Ah,N=G]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-30	2013-01-01	0-20000-0-44231
1098	VN8	VN8 Vaisala RS92 Autosonde auto corr, GPS wind 31313=48108  [F=T400-406DL,P=Sc,T=Wc,U=2Ah,N=G]	81	Vaisala RS92/Autosonde (Finland)                	2012-12-29	2013-01-01	0-20000-0-94170
1106	RHA	RHA Russia MRZ-3AK1 (previously MRZ* or BAR) 1780 MHz radiosonde with AVK {2004} 31313=55803  (W3=58) [F=T1780PL,P=0,T=TR(MMT-1),U=A(Honeywell HIH4000),W=Ta]	128	AVK - AK2-02 (Russian Federation)                          	2012-12-31	2013-01-01	0-20000-0-31770
1117	VC_	VC_ Vaisala RS80 DigiCORA I, II, or Marwin base case 31313=96199  (W3=61) [F=T403FL or 1680AL,P=Ac,T=CB,U=A]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20001-0-71603
1130	129	MARL-A or Vektor-M - AK2-02 (Russian Federation)                        	69	MARL-A or Vektor-M-RZM-2 (Russian Federation)              	2012-12-15	2013-01-22	0-643-0-26708
1200	RZ3	RZ3 Russia/USSR MRZ-3A 1780 MHz radiosonde {1986} 31313=52703 (moist)  (W3=27, T=233) [F=T1780PL,P=0,T=TR(MMT-1),U=G,W=Ta]	58	AVK-BAR (Russian Federation)                	2012-12-31	2013-01-01	0-20000-0-31088
1204	V8A	V8A Vaisala RS80 A-Humicap unspecified model {1981} WMO instr=37  (assume W2=04 or 14, W3=37) [F=T403FL or 1680AL,P=Ac,T=CB,U=A]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-30	2013-01-01	0-20000-0-85469
1224	RZ3	RZ3 Russia/USSR MRZ-3A 1780 MHz radiosonde {1986} 31313=52703 (moist)  (W3=27, T=233) [F=T1780PL,P=0,T=TR(MMT-1),U=G,W=Ta]	27	AVK-MRZ (Russian Federation)                	2012-12-31	2013-01-01	0-20000-0-27595
1229	V2_	V2_ Vaisala RS21 unspecified model {1974} WMO instr=36  (W3=36, T=037)	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20000-0-40437
1234	BFa	BFa South Africa InterMet Africa iMet-2-AA 403 MHz no pres GPS sonde, automatic solar and IR corr {~2009} 31313=49908  [F=T403FL,P=none,T=TB,U=A,N=G]	99	iMet-2/iMet-3200 GPS radiosonde with derived pressure from GPS height (South Africa)        	2012-12-30	2013-01-01	0-20000-0-68312
1246	RPF	RPF Ukraine PAZA-22 with AVK-1 ground station {~2009} 31313=51603  (W3=116)	116	PAZA-22/AVK-1 (Ukraine)                             	2012-12-30	2013-01-01	0-20000-0-34300
1257	Zn8	Zn8 Sippican model 1548-611 MK II Microsonde 403 MHz rod thermistor DGPS (LOS) no P, unspec cor {~1997} 31313=94908  [F=T403DL,P=Ac,T=TR,U=C,N=G] used	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20000-0-41112
1270	RZ3	RZ3 Russia/USSR MRZ-3A 1780 MHz radiosonde {1986} 31313=52703 (moist)  (W3=27, T=233) [F=T1780PL,P=0,T=TR(MMT-1),U=G,W=Ta]	129	MARL-A or Vektor-M - AK2-02 (Russian Federation)                        	2012-12-31	2013-01-01	0-20001-0-22522
1276	V8A	V8A Vaisala RS80 A-Humicap unspecified model {1981} WMO instr=37  (assume W2=04 or 14, W3=37) [F=T403FL or 1680AL,P=Ac,T=CB,U=A]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20000-0-82193
1280	C2	"[10,31,38,48,65|01,02,03,18] VIZ specifically [VIZ A was ""pressure commutated""] includes VIZ A (model 1492-510, used 1986 to no later"	55	Meisei RS-01G (Japan)                	2012-12-31	2013-01-01	0-20000-0-96935
1284	RPA	RPA Ukraine PAZA-12M with UL radiotheodolite {~2010} 31313=01503  (W3=115)	115	PAZA-12M/Radiotheodolite-UL (Ukraine)                             	2012-12-26	2013-01-02	0-20000-0-33393
1304	117	Graw DFM-09 (Germany)                            	117	Graw DFM-09 (Germany)                            	2012-12-27	2013-01-01	0-20000-0-43336
1332	RZ3	RZ3 Russia/USSR MRZ-3A 1780 MHz radiosonde {1986} 31313=52703 (moist)  (W3=27, T=233) [F=T1780PL,P=0,T=TR(MMT-1),U=G,W=Ta]	129	MARL-A or Vektor-M - AK2-02 (Russian Federation)                        	2012-12-31	2013-01-01	0-20000-0-23933
1340	RPK	RPK Ukraine PAZA-22M with MARL-A radar {~2009} 31313=58803 or 31313=52716 or *48** 	27	AVK-MRZ (Russian Federation)                	2012-12-31	2013-01-01	0-20300-0-35394
1373	XXX	XXX Reject all obs with this station ID in this period  misidentified or erroneous observations which should be rejected	79	Vaisala RS92/Digicora I, II or Marwin (Finland)            	2012-12-31	2013-01-01	0-20000-0-82965
1375	XXX	XXX Reject all obs with this station ID in this period  misidentified or erroneous observations which should be rejected	129	MARL-A or Vektor-M - AK2-02 (Russian Federation)                        	2012-12-31	2013-01-01	0-20000-0-36096
1377	C9	[21|24] VIZ Jinyang (Korea)	21	VIZ/Jin Yang MARK I MICROSONDE (Republic of Korea)           	2012-12-31	2013-01-01	0-20000-0-47185
1387	VCG	VCG Vaisala RS80 DigiCORA I, II, or Marwin auto corr, GPS wind 31313=46108  [F=T403FL or 1680AL,P=Ac,T=CB,U=A,N=G]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20000-0-82026
1388	H9G	"H9G China Shanghai Radio Factory #23 GZZ-9, GZZ9, GTS1 1675 MHz, or ""Shang/E, L band radar"" (electronic) radiosonde {2002} 31313=63203 (132)  [F=T1675DL,"	132	Shanghai GTS1/GFE(L) (China)                            	2012-12-31	2013-01-01	0-20000-0-53463
1397	VCL	VCL Vaisala RS80 DigiCORA I, II, or Marwin auto corr, LoRAN wind 31313=46106  [F=T403FL or 1680AL,P=Ac,T=CB,U=A,N=L]	90	Radiosonde not specified or unknown             	2012-12-10	2013-01-04	0-20000-0-72221
1423	RZ3	RZ3 Russia/USSR MRZ-3A 1780 MHz radiosonde {1986} 31313=52703 (moist)  (W3=27, T=233) [F=T1780PL,P=0,T=TR(MMT-1),U=G,W=Ta]	89	MARL-A or Vektor-M-BAR (Russian Federation)              	2012-12-31	2013-01-01	0-20000-0-32389
1431	XXX	XXX Reject all obs with this station ID in this period  misidentified or erroneous observations which should be rejected	89	MARL-A or Vektor-M-BAR (Russian Federation)              	2012-12-31	2013-01-01	0-20000-0-23078
1438	V8A	V8A Vaisala RS80 A-Humicap unspecified model {1981} WMO instr=37  (assume W2=04 or 14, W3=37) [F=T403FL or 1680AL,P=Ac,T=CB,U=A]	117	Graw DFM-09 (Germany)                            	2012-12-28	2013-01-02	0-20000-0-76595
1440	???	??? Unknown instrument category because data is not available for checking 	117	Graw DFM-09 (Germany)                            	2012-12-31	2013-01-01	0-20000-0-76394
1446	H9G	"H9G China Shanghai Radio Factory #23 GZZ-9, GZZ9, GTS1 1675 MHz, or ""Shang/E, L band radar"" (electronic) radiosonde {2002} 31313=63203 (132)  [F=T1675DL,"	132	Shanghai GTS1/GFE(L) (China)                            	2012-12-31	2013-01-01	0-20000-0-51709
1466	VC_	VC_ Vaisala RS80 DigiCORA I, II, or Marwin base case 31313=96199  (W3=61) [F=T403FL or 1680AL,P=Ac,T=CB,U=A]	61	Vaisala RS80/Loran/Digicora I, II or Marwin (Finland)            	2012-12-30	2013-01-02	0-20000-0-63450
1473	VHG	VHG Vaisala RS80-15G or RS80-15GA codeless GPS radiosonde, pre-199905, Intermediate Frequency (IF) drift problem {1995}  [F=T403FL,P=Ac,T=CB,U=A,N=G]	79	Vaisala RS92/Digicora I, II or Marwin (Finland)            	2012-12-29	2013-01-01	0-20000-0-87860
1488	H9G	"H9G China Shanghai Radio Factory #23 GZZ-9, GZZ9, GTS1 1675 MHz, or ""Shang/E, L band radar"" (electronic) radiosonde {2002} 31313=63203 (132)  [F=T1675DL,"	132	Shanghai GTS1/GFE(L) (China)                            	2012-12-31	2013-01-01	0-20000-0-57461
1500	V8A	V8A Vaisala RS80 A-Humicap unspecified model {1981} WMO instr=37  (assume W2=04 or 14, W3=37) [F=T403FL or 1680AL,P=Ac,T=CB,U=A]	57	Modem M2K2-DC (France)                	2012-12-30	2013-01-01	0-20000-0-96481
1507	RPDE	RPDE exact type insufficiently documented	116	PAZA-22/AVK-1 (Ukraine)                             	2012-12-31	2013-01-01	0-20000-0-33345
1508	ZF1	ZF1 VIZ model 1192 NWS 1680 MHz, new hygristor duct {1970}  (T=411) [F=Vt1680AB,P=A,T=TR(ML-405),U=C,W=Da(WBRT or GMD-1)]	183	Vaisala RS92-D/Intermet IMS 1500 w/silicon capacitive   pressure sensor, capacitive wire   temperature sensor, twin thin-film heated   polymer capacitive relative humidity sensor   and RDF wind	2012-12-19	2013-01-07	0-20000-0-78866
1536	80	Vaisala RS92/Digicora III (Finland)               	80	Vaisala RS92/Digicora III (Finland)               	2012-12-29	2013-01-01	0-20001-0-26629
1551	V8A	V8A Vaisala RS80 A-Humicap unspecified model {1981} WMO instr=37  (assume W2=04 or 14, W3=37) [F=T403FL or 1680AL,P=Ac,T=CB,U=A]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20000-0-82332
1560	H9G	"H9G China Shanghai Radio Factory #23 GZZ-9, GZZ9, GTS1 1675 MHz, or ""Shang/E, L band radar"" (electronic) radiosonde {2002} 31313=63203 (132)  [F=T1675DL,"	132	Shanghai GTS1/GFE(L) (China)                            	2012-12-31	2013-01-01	0-20000-0-58362
1568	XXX	XXX Reject all obs with this station ID in this period  misidentified or erroneous observations which should be rejected	57	Modem M2K2-DC (France)                	2012-12-30	2013-01-01	0-20000-0-44288
1600	VND	VND Vaisala RS92-D (RS92-DD or RS92-DL) with InterMet IMS 1500 for NWS CHUAS {2009} 31313=08302  [F=T1676-1682DL,P=Sc,T=Wc,U=2Ah,W=Ra]	183	Vaisala RS92-D/Intermet IMS 1500 w/silicon capacitive   pressure sensor, capacitive wire   temperature sensor, twin thin-film heated   polymer capacitive relative humidity sensor   and RDF wind	2012-12-03	2013-01-05	0-20000-0-78583
1602	G4	[23,24,25|05,15] French Mesural or Metox (There may be some radiation heating at 300 mb through 1976 as in stations 65578 and 91925)	79	Vaisala RS92/Digicora I, II or Marwin (Finland)            	2012-12-31	2013-01-01	0-20000-0-61291
1606	VCG	VCG Vaisala RS80 DigiCORA I, II, or Marwin auto corr, GPS wind 31313=46108  [F=T403FL or 1680AL,P=Ac,T=CB,U=A,N=G]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20001-0-40582
1628	MV6	MV6 Mixed Vaisala RS80 Star GPS (V9G, 31313=47408) and RS80 Star no wind (VEN, 31313=46300)  Station 89642 starting 20021005 2300	57	Modem M2K2-DC (France)                	2012-12-30	2013-01-01	0-20000-0-89642
1633	XXX	XXX Reject all obs with this station ID in this period  misidentified or erroneous observations which should be rejected	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20000-0-83840
1654	V8A	V8A Vaisala RS80 A-Humicap unspecified model {1981} WMO instr=37  (assume W2=04 or 14, W3=37) [F=T403FL or 1680AL,P=Ac,T=CB,U=A]	57	Modem M2K2-DC (France)                	2012-12-31	2013-01-01	0-20000-0-96413
1672	ZP9	ZP9 exact type insufficiently documented	117	Graw DFM-09 (Germany)                            	2012-12-20	2013-01-02	0-20000-0-06060
1684	XXX	XXX Reject all obs with this station ID in this period  misidentified or erroneous observations which should be rejected	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20000-0-83899
1709	V8A	V8A Vaisala RS80 A-Humicap unspecified model {1981} WMO instr=37  (assume W2=04 or 14, W3=37) [F=T403FL or 1680AL,P=Ac,T=CB,U=A]	57	Modem M2K2-DC (France)                	2012-12-31	2013-01-01	0-20000-0-96441
1720	VND	VND Vaisala RS92-D (RS92-DD or RS92-DL) with InterMet IMS 1500 for NWS CHUAS {2009} 31313=08302  [F=T1676-1682DL,P=Sc,T=Wc,U=2Ah,W=Ra]	183	Vaisala RS92-D/Intermet IMS 1500 w/silicon capacitive   pressure sensor, capacitive wire   temperature sensor, twin thin-film heated   polymer capacitive relative humidity sensor   and RDF wind	2012-12-29	2013-01-01	0-20000-0-78384
1723	RZ3	RZ3 Russia/USSR MRZ-3A 1780 MHz radiosonde {1986} 31313=52703 (moist)  (W3=27, T=233) [F=T1780PL,P=0,T=TR(MMT-1),U=G,W=Ta]	27	AVK-MRZ (Russian Federation)                	2012-12-30	2013-01-01	0-20000-0-89512
1746	C5	[43,44,46|--] Atmospheric Instrumentation Research (AIR) IS-4A	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20000-0-89664
1760	V9l	V9l Vaisala RS90 DigiCORA I, II, or Marwin auto corr, LoRAN wind 31313=47106  [F=T403DL,P=Sc,T=Wc,U=2Ah,N=L]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-30	2013-01-01	0-20000-0-26038
1790	RZ3	RZ3 Russia/USSR MRZ-3A 1780 MHz radiosonde {1986} 31313=52703 (moist)  (W3=27, T=233) [F=T1780PL,P=0,T=TR(MMT-1),U=G,W=Ta]	128	AVK - AK2-02 (Russian Federation)                          	2012-12-31	2013-01-01	0-20000-0-31538
