	station_id_igra	station_name	latitude	longitude	station_id
127	ASM00094821	MOUNT GAMBIER AERO	-37.7472	140.7739	94821
128	ASM00094865	LAVERTON AERODROME	-37.867	144.75	94865
129	ASM00094866	MELBOURNE AIRPORT	-37.6656	144.8322	94866
130	ASM00094907	EAST SALE (AUS-AFB)	-38.1	147.1333	94907
131	ASM00094910	WAGGA WAGGA AMO	-35.1583	147.4572	94910
132	ASM00094926	CANBERRA AIRPORT	-35.3	149.183	94926
133	ASM00094968	LAUNCESTON AIRPORT	-41.533	147.2	94968
134	ASM00094970	HOBART	-42.8833	147.3333	94970
135	ASM00094974	GEOGERTOWN	-42.2	145.05	94974
136	ASM00094975	HOBART AIRPORT	-42.8339	147.5033	94975
137	ASM00094995	LORD HOWE ISLAND AERO	-31.5422	159.0786	94995
138	ASM00094998	MACQUARIE ISLAND	-54.4994	158.937	94998
139	ASM00095527	MOREE AERO	-29.4897	149.8472	95527
140	ASM00095607	LUDLOW	-33.6	115.4667	95607
141	ASXUA942005	TALGARNO	-19.28	121.5	42005
142	ASXUA946505	MARALINGA	-30.01	131.583	46505
143	AUM00011010	LINZ/HOERSCHING-FLUGHAFEN	48.2353	14.1881	11010
144	AUM00011035	WIEN/HOHE WARTE	48.2486	16.3564	11035
145	AUM00011120	INNSBRUCK-FLUGHAFEN	47.2603	11.3439	11120
146	AUM00011240	GRAZ-THALERHOF-FLUGHAFEN	46.9931	15.4392	11240
147	AYM00088967	GENERAL BELGRANO	-77.9667	-38.8	88967
148	AYM00089001	SANAE	-70.317	-2.367	89001
149	AYM00089002	NEUMAYER	-70.6667	-8.25	89002
150	AYM00089009	AMUNDSEN-SCOTT	-90.0	0.0	89009
151	AYM00089022	HALLEY	-75.445	-26.2181	89022
152	AYM00089050	BELLINGSHAUSEN AWS	-62.183	-58.883	89050
153	AYM00089051	PETREL NAS	-63.4667	-56.2833	89051
154	AYM00089055	BASE MARAMBIO	-64.2333	-56.7167	89055
155	AYM00089062	ROTHERA	-67.5661	-68.1297	89062
156	AYM00089063	FARADAY	-65.25	-64.2667	89063
157	AYM00089125	BYRD STN	-80.017	-119.533	89125
158	AYM00089512	NOVOLAZAREVSKAJA	-70.7678	11.8317	89512
159	AYM00089522	BASE ROI BAUDOUIN	-70.4333	24.3167	89522
160	AYM00089532	SYOWA	-69.0053	39.5811	89532
161	AYM00089542	MOLODEZNAJA	-67.667	45.85	89542
162	AYM00089557	SOVIETSKAVA	-78.4	87.583	89557
163	AYM00089564	MAWSON	-67.6017	62.8753	89564
164	AYM00089571	DAVIS	-68.5744	77.9672	89571
165	AYM00089592	MIRNYJ	-66.5519	93.0147	89592
166	AYM00089593	PIONERSKAVA	-69.73	95.05	89593
167	AYM00089601	BUNGER OASIS	-66.27	100.73	89601
168	AYM00089606	VOSTOK	-78.45	106.867	89606
169	AYM00089611	CASEY	-66.2825	110.5231	89611
170	AYM00089625	CONCORDIA	-75.1017	123.4119	89625
171	AYM00089642	DUMONT D'URVILLE	-66.6631	140.0011	89642
172	AYM00089657	LENINGRADSKAJA	-69.5	159.4	89657
173	AYM00089662	MARIO ZUCHELLI STATION	-74.6958	164.0922	89662
174	AYM00089664	MCMURDO	-77.85	166.6667	89664
175	AYM00089671	ADARE HALLETT	-72.3	170.2167	89671
176	AYW00057401	ELLSWORTH IGY	-77.7333	-41.1167	57401
177	AYW00067401	LITTLE ROCKFORD	-79.25	-147.5	67401
178	AYW00067402	LITTLE ROCKFORD	-76.2667	-147.5	67402
179	AYXUA891755	LITTLE AMERICA	-78.2	-162.25	91755
180	AYXUAE05498	LITTLE AMERICA I	-78.57	-163.93	05498
181	AYXUAE05532	LITTLE AMERICA	-78.5	-163.8	05532
182	BAM00040427	BAHRAIN/MUHARRAQ	26.267	50.617	40427
183	BBM00078954	GRANTLEY ADAMS	13.0667	-59.4833	78954
184	BCM00068032	MAUN	-19.9833	23.4167	68032
185	BCM00068040	LETLHAKANE	-21.417	25.6	68040
186	BCM00068054	FRANCISTOWN	-21.217	27.5	68054
187	BCM00068240	SERETSE KHAMA INTERNATIONAL AI	-24.55	25.9167	68240
188	BCM00068244	GABORONE	-24.667	25.917	68244
189	BCM00068328	TSABONG	-26.05	22.45	68328
190	BDM00078016	L F WADE INTERNATIONAL AIRPORT	32.3669	-64.6772	78016
191	BEM00006400	KOKSIJDE	51.083	2.65	06400
192	BEM00006447	UCCLE	50.7969	4.3581	06447
193	BEM00006458	BEAUVECHAIN	50.7456	4.7633	06458
194	BEM00006476	ST-HUBERT	50.033	5.4	06476
195	BEM00006496	ELSENBORN	50.4822	6.1814	06496
196	BFM00078063	GOLD ROCK CREEK	26.6167	-78.3667	78063
197	BFM00078073	NASSAU AIRPORT NEW PROVIDENCE	25.05	-77.4667	78073
198	BFM00078076	ELEUTHERA ISLAND	25.2667	-76.3	78076
199	BFM00078107	MAYAGUAN	22.37	-73.03	78107
200	BGM00041859	RANGPUR	25.7333	89.2333	41859
201	BGM00041883	BOGRA	24.85	89.3667	41883
202	BGM00041891	SYLHET	24.9	91.8833	41891
203	BGM00041907	ISHWARDI	24.1333	89.05	41907
204	BGM00041923	DHAKA	23.7667	90.3833	41923
205	BGM00041936	JESSORE	23.1833	89.1667	41936
206	BGM00041943	FENI	23.0333	91.4167	41943
207	BGM00041950	BARISAL	22.75	90.3667	41950
208	BGM00041977	CHITTAGONG (AMBAGAN)	22.35	91.8167	41977
209	BGM00041992	COX'S BAZAR	21.4333	91.9333	41992
210	BGXUAC03368	LALMANIR HAT	25.88	89.43	03368
211	BGXUAE05433	CHATTAGRAM	22.25	91.82	05433
212	BGXUAE05797	DACCA	23.62	90.05	05797
213	BHM00078583	BELIZE/PHILLIP GOLDSTON INTL.	17.5333	-88.3	78583
214	BLM00085041	COBIJA	-11.0333	-68.7833	85041
215	BLM00085154	TRINIDAD	-14.8167	-64.9167	85154
216	BLM00085201	LA PAZ/ALTO	-16.517	-68.183	85201
217	BLM00085245	SANTA CRUZ/EL TROMPILLO	-17.8	-63.1833	85245
218	BLM00085268	ROBORE	-18.3167	-59.7667	85268
219	BLXUAE04835	COCHABAMBA	-17.38	-66.17	04835
220	BLXUAE04836	GUAYARAMERIN	-10.82	-65.37	04836
221	BLXUAE04838	RURRENABAQUE	-14.45	-67.53	04838
222	BLXUAE04841	YACUIBA	-22.03	-63.68	04841
223	BMM00048008	MYITKYINA	25.3667	97.4	48008
224	BMM00048042	MANDALAY	21.983	96.1	48042
225	BMM00048053	MEIKTILA	20.883	95.9	48053
226	BMM00048060	KENGTUNG	21.3	99.617	48060
227	BMM00048062	SITTWE	20.133	92.883	48062
228	BMM00048080	SANDOWAY	18.467	94.35	48080
229	BMM00048094	PATHEIN	16.767	94.767	48094
230	BMM00048096	MINGALADON	16.9	96.183	48096
231	BMM00048097	YANGON	16.7667	96.1667	48097
232	BMM00048108	DAWEI	14.1	98.2167	48108
233	BMM00048109	COCO ISLAND	14.117	93.367	48109
234	BMM00048110	MERGUI	12.433	98.6	48110
235	BMM00048112	VICTORIA POINT	9.967	98.583	48112
236	BNM00065306	KANDI	11.1333	2.9333	65306
237	BNM00065330	PARAKOU	9.35	2.6167	65330
238	BNM00065344	COTONOU	6.35	2.3833	65344
239	BNXUAAW5331	TCHAOUROU	8.8667	2.6	W5331
240	BOM00026850	MINSK	53.933	27.633	26850
241	BOM00033008	BREST	52.1167	23.6833	33008
242	BOM00033036	MOZYR (AMOS)	52.05	29.25	33036
243	BOM00033041	GOMEL	52.4019	30.9631	33041
244	BPM00091517	HONIARA	-9.4167	159.9667	91517
245	BPM00091541	SANTA CRUZ ISLAND	-10.7	165.8	91541
246	BRM00081729	MANACAPURU	-3.2944	-60.6283	81729
247	BRM00082022	BOA VISTA (AERO)	2.8333	-60.7	82022
248	BRM00082026	TIRIOS	2.2239	-55.9472	82026
249	BRM00082099	MACAPA (AERO)	0.05	-51.0667	82099
250	BRM00082107	SAO GABRIEL DA CACHOEIRA	-0.1167	-66.9667	82107
251	BRM00082193	BELEM (AERO)	-1.3833	-48.4833	82193
252	BRM00082244	SANTAREM (AERO)	-2.4333	-54.7167	82244
253	BRM00082281	SAO LUIZ (AERO)	-2.6	-44.2333	82281
254	BRM00082287	PARNAIBA	-3.083	-41.783	82287
255	BRM00082332	MANAUS (AERO)	-3.15	-59.9833	82332
256	BRM00082397	FORTALEZA	-3.7667	-38.6	82397
257	BRM00082400	FERNANDO DE NORONHA	-3.85	-32.4167	82400
258	BRM00082411	TABATINGA (AERO)	-4.25	-69.9333	82411
259	BRM00082532	MANICORE (AERO)	-5.8167	-61.2833	82532
260	BRM00082571	BARRA DO CORDA	-5.5	-45.267	82571
261	BRM00082579	TERESINA	-5.05	-42.817	82579
262	BRM00082586	QUIXERAMOBIM	-5.2	-39.3	82586
263	BRM00082599	NATAL (AERO)	-5.9167	-35.25	82599
264	BRM00082640	JACAREACANGA	-6.267	-57.733	82640
265	BRM00082678	FLORIANO	-6.7667	-43.0167	82678
266	BRM00082705	CRUZEIRO DO SUL (AERO)	-7.5833	-72.7667	82705
267	BRM00082765	CAROLINA	-7.3333	-47.4667	82765
268	BRM00082784	BARBALHA	-7.317	-39.3	82784
269	BRM00082791	PATOS	-7.017	-37.267	82791
270	BRM00082824	PORTO VELHO (AERO)	-8.7667	-63.9167	82824
271	BRM00082900	RECIFE	-8.05	-34.9167	82900
272	BRM00082917	RIO BRANCO (AERO)	-10.0	-67.8	82917
273	BRM00082930	CACHIMBO AERO	-9.333	-54.967	82930
274	BRM00082965	ALTA FLORESTA (AERO)	-9.8667	-56.1	82965
275	BRM00082975	BOM JESUS	-9.1	-44.117	82975
276	BRM00082983	PETROLINA	-9.3833	-40.4833	82983
277	BRM00082993	MACEIO (AEROPORTO)	-9.517	-35.783	82993
278	BRM00083063	PORTO NACIONAL	-10.7	-48.4	83063
279	BRM00083096	ARACAJU	-10.917	-37.05	83096
280	BRM00083182	IRECE	-11.3	-41.867	83182
281	BRM00083208	VILHENA (AERO)	-12.7	-60.1	83208
282	BRM00083229	SALVADOR	-13.0167	-38.5167	83229
283	BRM00083236	BARREIRAS	-12.15	-45.0	83236
284	BRM00083288	BOM JESUS DA LAPA	-13.2667	-43.4167	83288
285	BRM00083344	VITORIA DA CONQUIST	-14.95	-40.883	83344
286	BRM00083361	CUIABA	-15.6	-56.1	83361
287	BRM00083362	CUIABA (AERO)	-15.65	-56.1	83362
288	BRM00083378	BRASILIA (AERO)	-15.8667	-47.9333	83378
289	BRM00083498	CARAVELAS	-17.7333	-39.25	83498
290	BRM00083525	UBERLANDIA (AERO)	-18.8833	-48.2167	83525
291	BRM00083554	CORUMBA (AERO)	-19.0	-57.6667	83554
292	BRM00083566	CONFINS (AERO)	-19.6167	-43.9667	83566
293	BRM00083576	UBERABA	-19.783	-47.967	83576
294	BRM00083612	CAMPO GRANDE (AERO)	-20.4667	-54.6667	83612
295	BRM00083649	VITORIA (AERO)	-20.2667	-40.2833	83649
296	BRM00083650	TRINDADE (ILHA)	-20.5	-29.3167	83650
297	BRM00083746	GALEAO	-22.8167	-43.25	83746
298	BRM00083768	LONDRINA (AERO)	-23.3333	-51.1333	83768
299	BRM00083779	MARTE (AERO)	-23.5	-46.6333	83779
300	BRM00083780	SAO PAULO	-23.617	-46.65	83780
301	BRM00083827	FOZ DO IGUACU (AERO)	-25.5167	-54.5833	83827
302	BRM00083840	CURITIBA (AERO)	-25.5167	-49.1667	83840
303	BRM00083899	FLORIANOPOLIS (AERO)	-27.6667	-48.55	83899
304	BRM00083928	URUGUAIANA (AERO)	-29.7833	-57.0333	83928
305	BRM00083937	SANTA MARIA (AERO)	-29.7167	-53.7	83937
306	BRM00083971	PORTO ALEGRE (AERO)	-30.0	-51.1833	83971
307	BRM00083981	BAGE (AEROPORTO)	-31.35	-54.117	83981
308	BUM00015614	SOFIA (OBSERV.)	42.65	23.3833	15614
309	BUM00015730	KURDJALI	41.65	25.367	15730
310	BXM00096315	BRUNEI AIRPORT	4.9333	114.9333	96315
311	BXM00096323	KUALA BELAIT	4.583	114.2	96323
312	CAM00071043	NORMAN WELLS UA	65.2833	-126.75	71043
313	CAM00071051	SACHS HARBOUR	72.0	-125.27	71051
314	CAM00071069	SLAVE LAKE AIRPORT	55.283	-114.783	71069
315	CAM00071072	MOULD BAY	76.25	-119.35	71072
316	CAM00071074	ISACHSEN	78.8	-103.5	71074
317	CAM00071081	HALL BEACH UA	68.7667	-81.2167	71081
318	CAM00071082	ALERT UA	82.5	-62.3333	71082
319	CAM00071090	CLYDE RIVER	70.45	-68.55	71090
320	CAM00071109	PORT HARDY UA	50.685	-127.3758	71109
321	CAM00071115	VERNON AUTO	50.233	-119.283	71115
322	CAM00071119	EDMONTON STONY PLAIN	53.5475	-114.1083	71119
323	CAM00071120	COLD LAKE	54.417	-110.283	71120
324	CAM00071121	EDMONTON NAMAO ARPT	53.667	-113.467	71121
325	CAM00071123	EDMONTON INTL ARPT	53.317	-113.583	71123
326	CAM00071124	PRIMROSE LAKE	54.75	-110.05	71124
327	CAM00071129	KINDERSLEY ARPT	51.517	-109.183	71129
328	CAM00071145	ISLAND LAKE ARPT	53.85	-94.65	71145
329	CAM00071197	PORT-AUX-BASQUES	47.567	-59.15	71197
330	CAM00071203	KELOWNA UA	49.9408	-119.4003	71203
331	CAM00071450	ELBOW CS	51.133	-106.583	71450
332	CAM00071524	LASSOMPTION CDA	45.817	-73.433	71524
333	CAM00071569	BRATT'S LAKE UA	50.2	-104.7	71569
334	CAM00071600	SABLE ISLAND	43.9322	-60.0094	71600
335	CAM00071603	YARMOUTH UA	43.8667	-66.1	71603
336	CAM00071621	TRENTON ARPT	44.117	-77.533	71621
337	CAM00071625	PETAWAWA	45.95	-77.317	71625
338	CAM00071627	MONTREAL/TRUDEAU INT	45.467	-73.733	71627
339	CAM00071701	GAGETOWN A	45.8333	-66.4333	71701
340	CAM00071716	VALCARTIER AIRPORT	46.9	-71.483	71716
341	CAM00071722	MANIWAKI UA	46.3019	-76.0061	71722
342	CAM00071801	SAINT JOHN'S ARPT	47.6667	-52.75	71801
343	CAM00071802	ST JOHN'S WEST UA	47.5167	-52.7833	71802
344	CAM00071811	SEPT-ILES UA	50.2167	-66.25	71811
345	CAM00071815	STEPHENVILLE UA	48.5667	-58.5667	71815
346	CAM00071816	GOOSE UA	53.3	-60.3667	71816
347	CAM00071823	LA GRANDE IV UA	53.7572	-73.6792	71823
348	CAM00071836	MOOSONEE UA	51.2667	-80.65	71836
349	CAM00071843	WINNIPEG UA	49.8	-97.1333	71843
350	CAM00071845	PICKLE LAKE UA	51.45	-90.2	71845
351	CAM00071851	PORTAGE SOUTHPORT	49.9031	-98.2842	71851
352	CAM00071852	WINNIPEG INT.AIRPOR	49.9	-97.233	71852
353	CAM00071853	SHILO	49.783	-99.633	71853
354	CAM00071855	DAUPHIN AIRPORT	51.1	-100.05	71855
355	CAM00071861	BROADVIEW	50.383	-102.683	71861
356	CAM00071863	REGINA INTL	50.433	-104.667	71863
357	CAM00071866	SASKATOON DIEFENBAKE	52.167	-106.717	71866
358	CAM00071867	THE PAS UA	53.9667	-101.1	71867
359	CAM00071869	PRINCE ALBERT ARPT	53.217	-105.667	71869
360	CAM00071874	LETHBRIDGE AWOS	49.633	-112.8	71874
361	CAM00071876	NORTH BATTLEFORD	52.767	-108.25	71876
362	CAM00071877	CALGARY INTL	51.117	-114.017	71877
363	CAM00071892	VANCOUVER INT. AIRP	49.2	-123.167	71892
364	CAM00071893	COMOX A	49.7167	-124.9	71893
365	CAM00071896	PRINCE GEORGE	53.883	-122.667	71896
366	CAM00071906	KUUJJUAQ	58.1167	-68.4167	71906
367	CAM00071907	INUKJUAK UA	58.4667	-78.0833	71907
368	CAM00071908	PRINCE GEORGE UA	53.9	-122.79	71908
369	CAM00071909	IQALUIT UA	63.75	-68.55	71909
370	CAM00071913	CHURCHILL A UA	58.7333	-94.0667	71913
371	CAM00071915	CORAL HARBOUR UA	64.2	-83.3667	71915
372	CAM00071917	EUREKA UA	79.9833	-85.9333	71917
373	CAM00071924	RESOLUTE UA	74.7042	-94.9681	71924
374	CAM00071925	CAMBRIDGE BAY UA	69.1333	-105.0667	71925
375	CAM00071926	BAKER LAKE UA	64.3167	-96.0	71926
376	CAM00071928	ROCKY MTN HOUSE	52.433	-114.917	71928
377	CAM00071932	FORT MCMURRAY ARPT	56.65	-111.217	71932
378	CAM00071934	FORT SMITH UA	60.0261	-111.9294	71934
379	CAM00071938	COPPERMINE	67.8167	-115.0833	71938
380	CAM00071945	FORT NELSON UA	58.8333	-122.6	71945
381	CAM00071957	INUVIK UA	68.3167	-133.5167	71957
382	CAM00071964	WHITEHORSE UA	60.7328	-135.0969	71964
383	CAM00071968	AKLAVIK	68.23	-135.0	71968
384	CAM00072807	ARGENTIA	47.3	-54.0	72807
385	CAM00072826	NITCHEQUON	53.2	-70.9	72826
386	CAM00072848	TROUT LAKE	53.833	-89.867	72848
387	CAM00072918	ARCTIC BAY (NWT)	73.0	-85.3	72918
388	CAXUAC03491	MINGAN	50.28	-64.17	03491
389	CAXUAE04875	CAPE HOPES ADVANCE STATION	61.08	-69.55	04875
390	CAXUAE04876	CHESTERFIELD INLET	63.5	-90.7	04876
391	CAXUAE04878	MEANOOK	54.62	-113.33	04878
392	CDM00064700	NDJAMENA	12.1333	15.0333	64700
393	CDM00064750	SARH	9.15	18.3833	64750
394	CDM00064753	FAYA	18.0	19.167	64753
395	CDM00064756	ABECHE	13.85	20.85	64756
396	CEM00043413	MANNAR	8.9833	79.9167	43413
397	CEM00043418	TRINCOMALEE	8.5833	81.25	43418
398	CEM00043421	ANURADHAPURA	8.3333	80.4167	43421
399	CEM00043424	PUTTALAM	8.0333	79.8333	43424
400	CEM00043466	COLOMBO	6.9	79.8667	43466
401	CEM00043475	POTTUVIL	6.8833	81.8333	43475
402	CEM00043497	HAMBANTOTA	6.1167	81.1333	43497
403	CFM00064400	POINTE-NOIRE	-4.8167	11.9	64400
404	CFM00064401	DOLISIE	-4.217	12.667	64401
405	CFM00064450	BRAZZAVILLE /MAYA-MAYA	-4.25	15.25	64450
406	CFM00064453	DJAMBALA	-2.533	14.767	64453
407	CFM00064458	OUESSO	1.6167	16.05	64458
408	CFM00064459	IMPFONDO	1.617	18.067	64459
409	CGM00064210	KINSHASA/NDJILI	-4.383	15.433	64210
410	CGM00064220	KINSHASA/BINZA	-4.367	15.25	64220
411	CHM00050353	HUMA	51.717	126.65	50353
412	CHM00050527	HAILAR	49.25	119.7	50527
413	CHM00050557	NENJIANG	49.1667	125.2333	50557
414	CHM00050603	XIN BARAG YOUQI	48.667	116.817	50603
415	CHM00050745	QIQIHAR	47.383	123.917	50745
416	CHM00050774	YICHUN	47.7167	128.8333	50774
417	CHM00050834	TE-PO-SU-K/-MIAO	46.5	121.36	50834
418	CHM00050873	CHIAMUSSU	46.817	130.333	50873
419	CHM00050953	HARBIN	45.9333	126.5667	50953
420	CHM00051076	ALTAY	47.7333	88.0833	51076
421	CHM00051133	TACHENG	46.733	83.0	51133
422	CHM00051156	HOBOKSAR	46.81	85.7489	51156
423	CHM00051243	KARAMAY	45.6	84.85	51243
424	CHM00051288	BAYTIK SHAN	45.367	90.533	51288
425	CHM00051334	JINGHE	44.617	82.9	51334
426	CHM00051379	QITAI	44.017	89.567	51379
427	CHM00051431	YINING	43.95	81.3333	51431
428	CHM00051463	WU LU MU QI	43.7833	87.6167	51463
429	CHM00051495	SHISANJIANFANG	43.483	91.633	51495
430	CHM00051573	TURPAN	42.933	89.2	51573
