	wmo	lat	lon	station	date_min	date_max
16	01232	  63.20	   9.00	Vinjeora (?), Norway	9999999	9999999
17	01241	  63.70	   9.40	ENOL Orland, Norway	1974-10-01 00:00:00	2009-09-02 00:00:00
18	01271	  63.47	  10.93	ENVA Trondheim (Vaernes AP), Norway	1940-12-01 00:00:00	1942-02-28 00:00:00
19	01272	  63.47	  10.93	(made up station ID) ENVA Trondheim (Vaernes AP), Norway, airplane soundings	1942-01-17 00:00:00	1942-01-25 00:00:00
20	01317	  60.38	   5.33	Bergen (Geophysical Institute, Florida Hospital area), Norway	1940-12-01 00:00:00	1942-02-28 00:00:00
21	01384	  60.20	  11.08	ENGM Oslo (Gardermoen AP), Norway	1949-01-01 00:00:00	2001-04-01 00:00:00
22	01385	  59.97	  11.03	(made up station ID) EMKI Oslo (Kjeller AP), Norway	1932-09-01 00:00:00	1944-03-15 00:00:00
23	01400	  56.53	   3.22	Ekofisk - Hotel (2/4 H) oil platform (operated by Belgium, Denmark, Germany, Netherlands, Norway, Sweden, UK)	1994-02-01 00:00:00	2006-09-06 00:00:00
24	01415	  58.87	   5.67	ENZV Stavanger (Sola AP), Norway	1977-10-01 00:00:00	1998-01-08 00:00:00
25	01452	  58.20	   8.08	ENCN Kristiansand (Kjevik AP), Norway	1940-12-01 00:00:00	1942-02-28 00:00:00
26	01488	  59.90	  10.63	Oslo - Fornebu AP, Norway	1961-05-01 00:00:00	1963-04-01 00:00:00
27	01492	  59.943	  10.721	Oslo (Blindern - Norwegian Meteorological Institute), Norway	1958-05-01 00:00:00	2001-05-04 00:00:00
28	01493	  59.29	  11.11	Sarpsborg, Norway	9999999	9999999
29	02022	  68.35	  18.82	Abisko, Sweden	1919-07-01 00:00:00	1929-11-20 00:00:00
30	02042	  67.88	 -21.10	(made up station ID) Kiruna - Esrange Rocket Range wind profiler, Sweden	1996-08-01 00:00:00	1996-08-01 00:00:00
31	02043	  67.93	  21.07	Kiruna - Esrange Rocket Range, Sweden	9999999	9999999
32	02050	  68.43	  18.13	Riksgransen, Sweden	1930-01-15 00:00:00	1941-03-02 00:00:00
33	02054	  67.20	  23.42	Pajala, Sweden	1940-01-22 00:00:00	1940-06-04 00:00:00
34	02057	  65.55	  22.13	ESPA Lulea (Kallax AP), Sweden	1975-05-23 00:00:00	1977-06-30 00:00:00
35	02062	  63.18	  14.50	ESPC Ostersund - Froson AP, Sweden	1976-01-01 00:00:00	1977-06-30 00:00:00
36	02066	  62.53	  17.45	ESNN Sundsvall - Harnosand AP, Sweden	1977-06-30 00:00:00	1977-06-30 00:00:00
37	02075	  59.62	  16.55	Vasteras, Sweden	1931-01-01 00:00:00	1935-01-01 00:00:00
38	02077	  59.35	  17.95	ESSB Stockholm (Bromma AP), Sweden	1936-10-07 00:00:00	1977-06-30 00:00:00
39	02080	  58.52	  14.53	Karlsborg, Sweden	1943-05-24 00:00:00	1943-05-27 00:00:00
40	02084	  57.70	  11.80	Goteborg (Torslanda AP), Sweden	1926-06-05 00:00:00	1977-06-30 00:00:00
41	02097	  55.61	  13.05	Malmo - Bulltofta, Sweden	1926-01-01 00:00:00	1939-12-29 00:00:00
42	02103	  67.83	  20.25	Kiruna, Sweden	1907-03-04 00:00:00	1909-08-29 00:00:00
43	02136	  59.42	  17.85	Stockholm (Akala - Barkarby Swedish Air Force Base), Sweden	1926-09-27 00:00:00	1926-10-02 00:00:00
44	02147	  58.40	  15.52	ELCF Malmslatt - Malmen AP, Sweden	1922-11-05 00:00:00	1935-12-01 00:00:00
45	02156	  57.42	  14.11	(made up station ID) Skillingaryd, Sweden	1922-07-15 00:00:00	1930-07-25 00:00:00
46	02159	  57.4304	  18.9843	Ostergarnsholm Island, Sweden	1995-05-29 00:00:00	1997-06-14 00:00:00
47	02160	  57.65	  18.35	ESQV Visby AP, Sweden	1976-01-01 00:00:00	1977-06-30 00:00:00
48	02163	  56.08	  13.22	Ljungbyhed, Sweden	1927-01-01 00:00:00	1935-12-01 00:00:00
49	02185	  65.55	  22.13	ESPA Lulea (Kallax AP), Sweden	1977-08-05 00:00:00	2006-01-17 00:00:00
50	02210	  66.95	  19.85	(made up station ID) Porjus, Sweden	1922-01-01 00:00:00	1923-03-01 00:00:00
51	02211	  67.53	  18.23	(made up station ID) Suorva, Sweden	1922-01-01 00:00:00	1923-03-01 00:00:00
52	02224	  65.81	  21.69	Boden / Bodan AP, Sweden	1923-01-01 00:00:00	1933-12-13 00:00:00
53	02225	  63.20	  14.50	ESPC Ostersund - Froson AP, Sweden	1926-01-01 00:00:00	1996-02-06 00:00:00
54	02238	  63.18	  14.65	(made up station ID) Ostersund, Sweden	1921-07-01 00:00:00	1939-04-29 00:00:00
55	02270	  60.88	  15.12	(made up station ID) Rattvik AP, Sweden	1925-01-01 00:00:00	1925-01-01 00:00:00
56	02348	  55.98	  14.29	Rinkaby AP, Sweden	1923-01-01 00:00:00	1941-04-09 00:00:00
57	02349	  56.013	  15.787	(made up station ID) Utlangan Island, Sweden	1989-05-29 00:00:00	1991-06-14 00:00:00
58	02365	  62.53	  17.45	ESNN Sundsvall - Harnosand AP, Sweden	1977-07-06 00:00:00	2005-12-22 00:00:00
59	02465	  59.35	  17.95	ESSB Stockholm (Bromma AP), Sweden	1977-08-05 00:00:00	1995-01-27 00:00:00
60	02484	  59.349	  18.054	Stockholm - Vanadislunden, Sweden	1919-09-01 00:00:00	1941-10-23 00:00:00
61	02509	  57.395	  11.925	(made up station ID) Goteborg (Onsala Rymdobservatorium / Onsala Space Observatory), Sweden	1983-05-03 00:00:00	1983-05-26 00:00:00
62	02515	  57.72	  11.78	Goteborg (Torslanda AP), Sweden	1977-07-06 00:00:00	1977-10-02 00:00:00
63	02527	  57.67	  12.30	ESGG Goteborg (Landvetter AP), Sweden	1978-05-29 00:00:00	1995-04-25 00:00:00
64	02591	  57.65	  18.35	Visby AP, Sweden	1977-07-01 00:00:00	1995-09-12 00:00:00
65	02597	  58.975	  18.443	(made up station ID) Stabbo Island, Sweden	1980-08-26 00:00:00	1982-09-07 00:00:00
66	02613	  55.75	  12.92	(assigned station ID) Barseback - Oresund experiment site, Sweden	1984-05-15 00:00:00	1984-06-15 00:00:00
67	02667	  56.17	  15.58	Karlskrona, Sweden	1930-01-01 00:00:00	1935-12-01 00:00:00
68	02690	  57.59	  18.20	(made up station ID) Ygne, Sweden	1978-09-12 00:00:00	1978-11-23 00:00:00
69	02691	  57.31	  18.37	(made up station ID) Lojsta, Sweden	1978-09-12 00:00:00	1978-11-23 00:00:00
70	02692	  57.29	  18.21	(made up station ID) Eksta, Sweden	1978-09-12 00:00:00	1978-11-23 00:00:00
71	02693	  57.26	  18.63	(made up station ID) Nar, Sweden	1978-09-12 00:00:00	1978-11-23 00:00:00
72	02694	  57.07	  18.22	(made up station ID) Nasudden Peninsula, Sweden	1978-09-12 00:00:00	1988-01-01 00:00:00
73	02802	  68.90	  27.02	(made up station ID) Inari, Finland	1932-09-01 00:00:00	1933-09-01 00:00:00
74	02836	  67.37	  26.65	Tahtela - Sodankyla Geophysical Observatory, Finland	1920-01-01 00:00:00	2006-06-14 00:00:00
75	02847	  66.72	  27.42	Kemijarvi, Finland	1932-09-01 00:00:00	1933-09-01 00:00:00
76	02897	  64.22	  27.77	Kajaani, Finland	1920-01-01 00:00:00	1922-01-01 00:00:00
77	02913	  63.12	  23.08	Kauhava, Finland	1932-01-01 00:00:00	1933-01-01 00:00:00
78	02918	  63.32	  30.50	(made up station ID) Lieksa, Finland	1927-01-01 00:00:00	1933-01-01 00:00:00
79	02935	  62.40	  25.67	Jyvaskyla (Tikkakoski) - Luonetjarvi Air Force Base), Finland	1975-12-01 00:00:00	1997-03-01 00:00:00
80	02963	  60.82	  23.48	Jokionen, Finland	1976-01-20 00:00:00	1994-12-31 00:00:00
81	02966	  60.88	  26.97	Utti, Finland	1922-01-01 00:00:00	1936-01-01 00:00:00
82	02974	  60.20	  24.92	Helsinki (Pasila - Ilmala Aerological Observatory), Finland	1911-01-01 00:00:00	2005-11-07 00:00:00
83	02975	  60.2537	  25.0452	Helsinki - Malmi AP, Finland wind profiler with RASS	2005-08-01 00:00:00	2006-11-08 00:00:00
84	02981	  59.78	  21.37	Uto, Finland	1929-01-01 00:00:00	1933-01-01 00:00:00
85	02994	  60.15	  25.07	(made up station ID) Santahamina AP, Finland	1931-01-01 00:00:00	1933-01-01 00:00:00
86	03005	  60.13	  -1.18	Lerwick, Shetland Is., Scotland, UK	1940-06-07 00:00:00	2002-09-04 00:00:00
87	03018	  57.35	  -7.37	South Uist Range (operated by Ministry of Defence) Vaisala LAP-3000 wind profiler, Benbecula Island, Outer Hebrides, Scotland, UK	2002-08-05 00:00:00	2005-05-01 00:00:00
88	03019	  57.3534	  -7.3750	South Uist Range (operated by Ministry of Defence) wind profiler - 64 MHz low mode, Benbecula Island, Outer Hebrides, Scotland, UK	2003-05-01 00:00:00	2003-05-01 00:00:00
89	03020	  57.3534	  -7.3750	South Uist Range (operated by Ministry of Defence) wind profiler - 64 MHz high mode, Benbecula Island, Outer Hebrides, Scotland, UK	2003-05-01 00:00:00	2003-05-01 00:00:00
90	03022	  57.47	  -7.37	EGPL Benbecula AP, Benbecula Island, Outer Hebrides, Scotland, UK	9999999	9999999
91	03023	  57.35	  -7.37	South Uist Range (operated by Ministry of Defence), Benbecula Island, Outer Hebrides, Scotland, UK	1997-01-30 00:00:00	2003-09-01 00:00:00
92	03026	  58.22	  -6.33	Stornoway, Scotland, UK	1942-09-01 00:00:00	2002-10-25 00:00:00
93	03066	  57.65	  -3.57	Kinloss, Scotland, UK	2002-04-03 00:00:00	2006-03-31 00:00:00
94	03091	  57.1641	   -2.100	Aberdeen - Cromwell Tower Observatory, King's College / University of Aberdeen, Scotland, UK	1912-05-10 00:00:00	2000-01-26 00:00:00
95	03104	  56.08	  -5.60	(made up station ID) Crinan Bay, Argyllshire, Scotland	1902-06-19 00:00:00	1908-01-01 00:00:00
96	03130	  54.85	  -4.95	West Freugh Range (operated by Ministry of Defence), Scotland, UK	9999999	9999999
97	03132	  54.85	  -4.95	West Freugh Range (operated by Ministry of Defence), Scotland, UK	9999999	9999999
98	03162	  55.32	  -3.20	Eskdalemuir, Scotland, UK	2000-03-01 00:00:00	2000-03-31 00:00:00
99	03170	  56.4386	  -2.8603	Edinburgh - (Tayport - Shanwell Upper Air Station (operated by Royal Air Force), Shanwell Road), Scotland, UK	1959-09-01 00:00:00	1992-03-15 00:00:00
100	03171	  56.38	  -2.88	EGQL Edinburgh (Leuchars - RAF Leuchars), Scotland, UK	1945-01-01 00:00:00	2006-01-16 00:00:00
101	03203	  54.1067	  -4.5527	Douglas (Meary Veg - Sewage Plant), Isle of Man, England, UK LAP-3000 915 MHz wind profiler	2005-05-01 00:00:00	2005-05-01 00:00:00
102	03213	  54.32	  -3.40	Eskmeals Range (operated by Ministry of Defence), England, UK	1975-02-18 00:00:00	2000-07-20 00:00:00
103	03238	  55.02	  -1.87	Albemarle Barracks (near Newcastle), Scotland, UK	2002-04-02 00:00:00	2003-02-10 00:00:00
104	03240	  55.42	  -1.60	Boulmer, England, UK	1992-05-04 00:00:00	2002-02-14 00:00:00
105	03257	  54.30	  -1.53	Leeming, England, UK	1992-04-01 00:00:00	2010-05-02 00:00:00
106	03317	  53.57	  -3.05	EGOW Liverpool (RAF Woodvale Airfield), England, UK	2000-03-01 00:00:00	2002-02-17 00:00:00
107	03322	  53.47	  -2.92	Liverpool (Fazakerley), England, UK	1942-01-01 00:00:00	1996-03-31 00:00:00
108	03323	  53.42	  -3.00	Liverpool, England, UK	1910-06-21 00:00:00	1910-06-23 00:00:00
109	03336	  53.5013	  -2.2805	(made up station ID) Manchester (Salford - SALFEX radiosondes), England, UK	2002-04-22 00:00:00	2002-05-09 00:00:00
110	03348	  53.42	  -1.90	(made up station ID) Manchester (Glossop - Howard Estate Observatory) (Operated by University of Manchester), England, UK	1908-01-01 00:00:00	1910-03-18 00:00:00
111	03354	  53.0058	  -1.2520	Nottingham (Watnall - UK Met Office, Main Rd, Watnall NG16 1HT), England, UK	1998-05-15 00:00:00	2005-05-11 00:00:00
112	03373	  53.30	   -.55	Scampton, England, UK	2009-11-02 00:00:00	2009-11-03 00:00:00
113	03377	  53.1755	  -0.5232	EGXW Waddington AP, England, UK	2002-01-11 00:00:00	2002-01-11 00:00:00
114	03414	  52.7939	  -2.6638	EGOS Shawbury AP, England, UK	1999-09-08 00:00:00	1999-09-08 00:00:00
115	03452	  52.70	  -0.75	(made up station ID) Langham AP, England, UK	1944-11-01 00:00:00	1944-12-31 00:00:00
116	03470	  52.88	   0.18	EGYH Long Sutton - RAF Holbeach Range, England, UK	1978-03-07 00:00:00	1978-03-07 00:00:00
117	03471	  52.88	   0.63	(made up station ID) Bircham Newton AP, England, UK	1942-06-09 00:00:00	1942-08-08 00:00:00
118	03472	  52.88	   0.63	(made up station ID) Bircham Newton AP, England, UK, airplane soundings	1941-10-29 00:00:00	1944-10-31 00:00:00
119	03476	  52.60	   0.40	(made up station ID) Downham Market, England	1945-10-01 00:00:00	1951-11-01 00:00:00
120	03495	  52.77	   1.35	Coltishall, England, UK	2005-05-13 00:00:00	2005-05-13 00:00:00
121	03496	  52.68	   1.68	Hemsby, England, UK	1951-11-01 00:00:00	2001-03-19 00:00:00
122	03499	  52.4246	  -4.0044	(made up station ID) Aberystwyth (Capel Dewi), Wales, UK LAP-3000 915 MHz wind profiler	1999-11-17 00:00:00	2002-07-01 00:00:00
123	03500	  52.4242	  -4.0041	(made up station ID) Aberystwyth (Capel Dewi) NERC ozonesondes, Wales, UK	1991-01-01 00:00:00	2001-01-01 00:00:00
124	03501	  52.4245	  -4.0054	Aberystwyth (Capel Dewi) NERC Mesosphere-Stratosphere-Troposphere (MST) 46.5 MHz wind profiler, Wales, UK	1990-01-01 00:00:00	1990-01-01 00:00:00
125	03502	  52.13	  -4.57	Aberporth Range (operated by Ministry of Defence), Wales, UK	1982-07-05 00:00:00	2003-01-29 00:00:00
126	03559	  52.10	  -0.42	Cardington, England, UK	9999999	9999999
127	03569	  52.25	  -0.08	(made up station ID) Elsworth, Cambridgeshire, UK	9999999	9999999
128	03573	  52.09	   0.13	EGSU Duxford, England, UK	1926-07-01 00:00:00	1929-12-01 00:00:00
129	03578	  52.37	   0.48	EGUN Mildenhall AP, England, UK	1939-01-01 00:00:00	1941-10-28 00:00:00
130	03590	  52.12	   0.97	EGUW Wattisham, England, UK	2001-09-17 00:00:00	2006-03-21 00:00:00
131	03591	  52.1240	   0.9579	Wattisham, England, UK LAP-3000 1290 MHz atmospheric profiler**	1999-02-01 00:00:00	1999-02-01 00:00:00
132	03628	  51.52	  -2.58	Bristol - Filton Airfield, England, UK	1918-02-01 00:00:00	1919-02-01 00:00:00
133	03633	  51.87	  -2.22	Gloucester, England, UK	1909-06-22 00:00:00	1909-06-24 00:00:00
134	03639	  51.28	  -2.00	(made up station ID) West Lavington (Butlers Cross), England, UK	1918-02-01 00:00:00	1919-02-01 00:00:00
135	03649	  51.75	  -1.58	EGVN Brize Norton AP, England, UK	2000-06-30 00:00:00	2006-03-25 00:00:00
136	03659	  51.65	  -1.00	(made up station ID) Pyrton - Pyrton Hill, England, UK	1908-07-27 00:00:00	1910-08-13 00:00:00
137	03693	  51.53	   0.82	Shoeburyness Range (operated by Ministry of Defence), Landwick, Foulness Island, England, UK	1918-01-01 00:00:00	2004-09-30 00:00:00
138	03735	  51.20	  -1.93	(made up station ID) Elston Hill, England, UK	1938-09-01 00:00:00	1938-12-01 00:00:00
139	03736	  51.29	  -2.01	(made up station ID) Lavington, England, UK	1938-01-01 00:00:00	1938-12-01 00:00:00
140	03743	  51.18	  -1.84	Larkhill - Stonehenge Aerodrome, England, UK	1918-02-01 00:00:00	2002-04-04 00:00:00
141	03744	  51.45	  -1.78	Upavon (Central Flying School), England, UK	1913-01-01 00:00:00	1913-01-01 00:00:00
142	03747	  51.15	  -1.44	(made up station ID) Chilbolton Observatory radiosondes, UK	2005-06-19 00:00:00	2005-08-13 00:00:00
143	03763	  51.38	  -0.78	"(assigned station ID) ""3FIE6"" Bracknell - Meteorological Office Experimental Site, Beaufort Park, England, UK"	2002-08-14 00:00:00	2002-08-14 00:00:00
144	03767	  51.00	  -0.93	(made up station ID) Petersfield - Ditcham Park, England, UK	1908-01-01 00:00:00	1908-01-01 00:00:00
145	03771	  51.49	  -0.56	(made up station ID) Slough (Ditton Park - Radio Research Station), England, UK	1938-01-01 00:00:00	1939-01-01 00:00:00
146	03772	  51.32	  -0.35	(assigned station ID) Oxshott, Surrey, England, UK	1904-02-19 00:00:00	1905-09-30 00:00:00
147	03774	  51.08	  -0.22	EGKK London (Crawley - Gatwick AP), England, UK	1978-03-01 00:00:00	1992-09-30 00:00:00
148	03775	  51.47	  -0.31	London (Richmond - Kew Observatory), England, UK	1923-09-01 00:00:00	1939-01-01 00:00:00
149	03804	  49.92	  -6.30	Scilly Island, England, UK	1940-03-01 00:00:00	1940-10-25 00:00:00
150	03807	  50.2186	  -5.3268	Camborne wind profiler, England, UK	1998-01-01 00:00:00	1998-01-01 00:00:00
151	03808	  50.2185	  -5.3261	Camborne, Cornwall, England, UK	1948-09-01 00:00:00	2005-04-12 00:00:00
152	03811	  50.07	  -5.33	(made up station ID) Penzance, England, UK	1940-10-27 00:00:00	1948-09-01 00:00:00
153	03816	  50.152	  -5.07	(made up station ID) Falmouth Observatory, England, UK	1918-11-01 00:00:00	1919-02-01 00:00:00
154	03840	  50.8603	  -3.2402	Dunkeswell 1290 MHz atmospheric profiler, England, UK	1999-02-01 00:00:00	1999-02-01 00:00:00
155	03882	  50.90	   0.32	Herstmonceux West End Street, East Sussex, England, UK	1993-04-13 00:00:00	2006-05-29 00:00:00
156	03917	  54.66	  -6.23	EGAA Belfast - Aldergrove AP, Northern Island, UK	1942-06-09 00:00:00	1962-04-01 00:00:00
157	03918	  54.50	  -6.32	Castor Bay, N Ireland, UK	2002-06-30 00:00:00	2006-02-21 00:00:00
158	03919	  54.66	  -6.23	(made up station ID) EGAA Belfast - Aldergrove AP, Northern Island, UK, airplane soundings	1939-01-01 00:00:00	1944-12-03 00:00:00
159	03920	  54.48	  -6.10	Hillsborough (Long Kesh), N Ireland, UK	1962-04-01 00:00:00	2002-06-24 00:00:00
160	03928	  54.50	  -5.47	(made up station ID) Ballyhalbert, Northern Island, UK, airplane soundings	1944-02-01 00:00:00	1944-12-31 00:00:00
161	03953	  51.94	 -10.24	Cahirciveen - Valentia Observatory, Ireland	1943-01-01 00:00:00	2007-01-31 00:00:00
162	03958	  52.34	  -6.45	(made up station ID) Wexford Naval Air Station, Ireland (Operated by US Navy)	1918-10-01 00:00:00	1919-02-01 00:00:00
163	03963	  52.77	  -8.44	(made up station ID) Birdhill, Ireland	1908-01-01 00:00:00	1908-01-01 00:00:00
164	04018	  63.95	 -22.62	Keflavik, Iceland	1909-01-01 00:00:00	2006-11-24 00:00:00
165	04030	  64.13	 -21.90	Reykjavik, Iceland	1932-08-01 00:00:00	1945-01-01 00:00:00
166	04089	  65.2734	 -14.4077	(ASAP unit ASIS01 used as land station) Egilsstadir AP, Iceland	2010-04-06 00:00:00	2010-04-06 00:00:00
167	04115	  78.31	 -72.61	(made up station ID) Etah, Greenland	1937-09-10 00:00:00	1938-06-30 00:00:00
168	04201	  76.55	 -68.82	(made up station ID) BGTL Pituffik - Thule Air Base ozonesondes (operated by US Air Force), Greenland (Denmark)	1963-01-30 00:00:00	1964-07-01 00:00:00
169	04202	  76.55	 -68.82	BGTL Pituffik - Thule Air Base (operated by US Air Force), Greenland (Denmark)	1932-08-01 00:00:00	2006-10-15 00:00:00
170	04204	  76.43	 -70.00	(made up station ID) Wolstenholme Island, Greenland (Denmark)	1937-08-08 00:00:00	1937-08-08 00:00:00
171	04206	  77.23	  -62.33	(made up station ID) Camp Sierra (Mile 60), Greenland (Denmark) (operated by US Air Force) (WBAN=17610)	1953-07-01 00:00:00	1954-08-01 00:00:00
172	04208	  74.33	 -56.22	(made up station ID) Peary Lodge, Upper Nugssuak Peninsula, Greenland (Denmark)	1933-03-01 00:00:00	1933-08-01 00:00:00
173	04209	  71.18	 -51.13	(made up station ID) Weststation, Greenland (Denmark)	1930-01-01 00:00:00	1931-01-01 00:00:00
174	04215	  69.77	 -50.25	(made up station ID) Quervainshavn, Greenland (Denmark)	1912-08-03 00:00:00	1912-09-05 00:00:00
175	04216	  69.22	 -51.05	(made up station ID) Jakobshavn, Greenland (Denmark)	1912-08-03 00:00:00	1912-09-05 00:00:00
176	04218	  69.24	 -53.54	(made up station ID) Godhavn, Disko Island, Greenland (Denmark)	1912-09-21 00:00:00	1913-05-31 00:00:00
177	04220	  68.70	 -52.85	Aasiaat / Egedesminde, Greenland (Denmark)	1974-10-24 00:00:00	2009-10-11 00:00:00
178	04228	  66.92	 -50.83	(made up station ID) Mount Evans, Greenland (Denmark)	1927-07-20 00:00:00	1929-07-21 00:00:00
179	04229	  66.94	 -52.49	(made up station ID) Maligiak Fjord - Camp Little, Greenland (Denmark)	1926-07-11 00:00:00	1926-09-03 00:00:00
180	04230	  66.93	 -53.70	Holstensborg, Greenland (Denmark)	1912-04-30 00:00:00	1912-05-29 00:00:00
181	04231	  67.00	 -50.80	BGSF Sondrestrom Air Base (operated by US Air Force), Greenland (Denmark)	1946-07-01 00:00:00	1950-04-01 00:00:00
182	04234	  66.95	 -53.73	Mirrarfik Sisimiut (Holsteinsborg Lufthavn) wind profiler, Greenland (Denmark)	9999999	9999999
183	04255	  63.43	 -51.18	(made up station ID) Marrak Point (operated by US Air Force), Greenland (Denmark)	1947-12-01 00:00:00	1948-09-01 00:00:00
184	04270	  61.18	 -45.43	BGBW Narsarsuaq, Greenland (Denmark)	1979-06-01 00:00:00	2009-08-15 00:00:00
185	04310	  81.60	 -16.67	Station Nord, Greenland	1953-10-01 00:00:00	1973-01-01 00:00:00
186	04319	  76.??	 -??.??	(made up station ID) Pustervig, Greenland (Denmark)	1907-08-01 00:00:00	1908-08-01 00:00:00
187	04320	  76.77	 -18.77	Danmarkshavn, Greenland (Denmark)	1906-06-01 00:00:00	2011-10-14 00:00:00
188	04339	  70.48	 -21.97	Ittoqqortoormiit / Scoresbysund, Greenland (Denmark)	1932-08-01 00:00:00	2000-10-02 00:00:00
189	04340	  70.50	 -21.97	Walrus Bay (operated by US Air Force), Greenland (Denmark)	1946-06-01 00:00:00	1980-09-24 00:00:00
190	04342	  71.12	 -24.22	(made up station ID) Oststation, Greenland (Denmark)	1930-01-01 00:00:00	1931-01-01 00:00:00
191	04360	  65.63	 -37.65	Ammassalik / Angmagssalik, Greenland (Denmark)	1930-08-18 00:00:00	2009-10-21 00:00:00
192	04415	  70.90	 -40.70	(made up station ID) Eismitte, Greenland (Denmark)	1930-01-01 00:00:00	1951-08-10 00:00:00
193	04417	  72.5784	 -38.4538	Mobile Science Facility building, Greenland Environmental Observatory, Summit Station (GEOSummit), Greenland (operated by USA)	2010-05-26 00:00:00	2010-05-26 00:00:00
194	04418	  72.5794	 -38.5053	Summit, Greenland (Denmark) ozonesondes (performed by NOAA Earth Systems Research Laboratories)	2005-02-12 00:00:00	2005-02-12 00:00:00
195	05263	  55.80	  13.33	(made up station ID) Borlunda - Oresund experiment site, Sweden	1984-05-15 00:00:00	1984-06-15 00:00:00
196	05297	  60.40	  26.40	"(made up station ID) ""SHIP"" Loviisa, Finland "	1997-04-17 00:00:00	1997-04-17 00:00:00
197	05312	  55.50	  -5.30	"(made up station ID) ""ARRAN"" southern end of Arran Island, Scotland, UK"	1996-03-17 00:00:00	1999-12-15 00:00:00
198	05330	  53.90	  -0.40	"(made up station ID) ""DRI"" Beverly, England, UK"	1995-07-05 00:00:00	1995-07-21 00:00:00
199	05341	  52.4316	  -3.1436	(made up station ID) Upper Duffryn Farm / Upper Dyffryn Farm, Newcastle-on-Clun, England	2009-01-01 00:00:00	2010-04-01 00:00:00
200	05342	  52.4209	  -3.1003	(made up station ID) Springhill Farm, Newcastle-on-Clun, England	2009-01-01 00:00:00	2010-04-01 00:00:00
201	05343	  52.4085	  -3.0730	(made up station ID) Burfield Valley site, Newcastle-on-Clun, England	2009-01-01 00:00:00	2009-01-01 00:00:00
202	05398	  53.32	  -9.90	(made up station ID) Mace Head Atmospheric Research Station, Ireland - UFAM Degreane wind profiler for NAMBLEX	2002-08-01 00:00:00	2002-09-01 00:00:00
203	05399	  53.32	  -9.90	(made up station ID) Mace Head Atmospheric Research Station, Ireland - UFAM Scintex MFAS64 sodar for NAMBLEX	2002-08-01 00:00:00	2002-09-01 00:00:00
204	05665	  47.30	   8.00	"(made up station ID) ""SWM44"" near Wynau, Switzerland"	1992-10-14 00:00:00	1992-10-14 00:00:00
205	05667	  47.38	   9.00	(made up station ID) Rietholsbach ALPEX site, Switzerland	1982-05-26 00:00:00	1982-08-24 00:00:00
206	05675	  46.53	   8.35	(made up station ID) Oberwald ALPEX site, Switzerland	1982-03-01 00:00:00	1982-05-01 00:00:00
207	05676	  46.65	   8.62	(made up station ID) St. Gotthard ALPEX site, Switzerland	1982-03-01 00:00:00	1982-05-01 00:00:00
208	05678	  46.78	   9.68	(made up station ID) Arosa - Lichtklimatischen Observatoriums, Switzerland	1929-11-05 00:00:00	1930-03-16 00:00:00
