Date of assignment of number (necessary after 30/06/2007),Code figure for rara (Code table 3685),Code figure for BUFR (Code table 0 02 011),Description
Before,61,61,"Vaisala RS80/Loran/Digicora I, II or Marwin (Finland)            "
Before,62,62,Vaisala RS80/PCCora (Finland)                
Before,63,63,Vaisala RS80/Star (Finland)                
Before,64,64,"Orbital Sciences Corporation, Space Data Division, transponder radiosonde, corresponds to   the model of the instrument (United States)"
Before,65,65,"VIZ transponder radiosonde, model number 1499–520 (United States)           "
Before,66,66,Vaisala RS80 /Autosonde (Finland)               
Before,67,67,Vaisala RS80/Digicora III (Finland)               
Before,68,68,AVK-RZM-2 (Russian Federation)                
Before,69,69,MARL-A or Vektor-M-RZM-2 (Russian Federation)              
Before,70,70,Vaisala RS92/Star (Finland)                
Before,71,71,"Vaisala RS90/Loran/Digicora I, II or Marwin (Finland)            "
Before,72,72,Vaisala RS90/PC-Cora (Finland)                
Before,73,73,Vaisala RS90/Autosonde (Finland)                
Before,74,74,Vaisala RS90/Star (Finland)                
Before,75,75,AVK-MRZ-ARMA (Russian Federation)                
Before,76,76,AVK-RF95-ARMA (Russian Federation)                
Before,77,77,GEOLINK GPSonde GL98 (France)               
Before,78,78,Vaisala RS90/Digicora III (Finland)               
Before,79,79,"Vaisala RS92/Digicora I, II or Marwin (Finland)            "
Before,80,80,Vaisala RS92/Digicora III (Finland)               
Before,81,81,Vaisala RS92/Autosonde (Finland)                
Before,82,82,"Sippican MK2 GPS/STAR (United States) with rod thermistor, carbon element   and derived pressure    "
Before,83,83,"Sippican MK2 GPS/W9000 (United States) with rod thermistor, carbon element   and derived pressure    "
Before,84,84,"Sippican MARK II with chip thermistor, carbon element and derived pressure from   GPS height   "
Before,85,85,"Sippican MARK IIA with chip thermistor, carbon element and derived pressure   from GPS height   "
Before,86,86,"Sippican MARK II with chip thermistor, pressure and carbon element         "
Before,87,87,"Sippican MARK IIA with chip thermistor, pressure and carbon element         "
Before,88,88,MARL-A or Vektor-M-MRZ (Russian Federation)              
Before,89,89,MARL-A or Vektor-M-BAR (Russian Federation)              
Not applicable,90,90,Radiosonde not specified or unknown             
Not applicable,91,91,Pressure only radiosonde               
Not applicable,92,92,Pressure only radiosonde plus transponder             
Not applicable,93,93,Pressure only radiosonde plus radar reflector            
Not applicable,94,94,No pressure radiosonde plus transponder             
Not applicable,95,95,No pressure radiosonde plus radar reflector            
Not applicable,96,96,Descending radiosonde                
Before,97,97,iMet-2/iMet-1500 RDF radiosonde with pressure sensor chip (South Africa)          
Before,98,98,iMet-2/iMet-1500 GPS radiosonde with derived pressure from GPS height (South Africa)        
Before,99,99,iMet-2/iMet-3200 GPS radiosonde with derived pressure from GPS height (South Africa)        
,Not available,100,Reserved for BUFR only
,01,101,Not vacant  
,Not available,102–106,Reserved for BUFR only
,07,107,Not vacant  
,Not available,108–109,Reserved for BUFR only
01/01/08,10,110,"Sippican LMS5 w/Chip Thermistor, duct mounted capacitance relative humidity sensor and derived pressure from GPS height               "
01/01/08,11,111,"Sippican LMS6 w/Chip Thermistor, external boom mounted capacitance relative   humidity sensor, and derived pressure from GPS   height          "
06/05/15,12,112,Jin Yang RSG-20A with derived pressure from GPS height/GL-5000P (Republic   of Korea)                 
15/09/2010,13,113,Vaisala RS92/MARWIN MW32 (Finland)                           
03/11/11,14,114,Vaisala RS92/DigiCORA MW41 (Finland)                           
01/12/11,15,115,PAZA-12M/Radiotheodolite-UL (Ukraine)                             
01/12/11,16,116,PAZA-22/AVK-1 (Ukraine)                             
02/05/12,17,117,Graw DFM-09 (Germany)                            
,18,118,Not vacant                             
15/05/2019,19,119,Polus-MRZ-N1 (Russian Federation)                            
,20,120,Not vacant                             
06/05/15,21,121,Jin Yang 1524LA LORAN-C/GL5000 (Republic of Korea)                        
02/05/12,22,122,"Meisei RS-11G GPS radiosonde w/thermistor, capacitance   relative humidity sensor,   and derived pressure from GPS   height (Japan)         "
03/11/11,23,123,Vaisala RS41/DigiCORA MW41 (Finland)                           
03/11/11,24,124,Vaisala RS41/AUTOSONDE (Finland)                            
03/11/11,25,125,Vaisala RS41/MARWIN MW32 (Finland)                           
07/05/14,26,126,Meteolabor SRS–C34/Argus 37 (Switzerland)                           
,27,127,Not vacant                             
15/09/2011,28,128,AVK - AK2-02 (Russian Federation)                          
15/09/2011,29,129,MARL-A or Vektor-M - AK2-02 (Russian Federation)                        
01/01/10,30,130,Meisei RS-06G (Japan)                            
03/11/11,31,131,Taiyuan GTS1-1/GFE(L) (China )                           
03/11/11,32,132,Shanghai GTS1/GFE(L) (China)                            
03/11/11,33,133,Nanjing GTS1-2/GFE(L) (China)                            
Needed,34,134,Vacant                              
07/05/14,35,135,"Meisei iMS-100 GPS radiosonde w/thermistor sensor, capacitance relative humidity   sensor, and derived pressure from GPS height (Japan)            "
02/05/18,36,136,"Meisei iMDS-17 GPS dropsonde w/thermistor sensor, capacitance relative humidity   sensor, and capacitance pressure sensor (Japan)              "
,37,137,Not vacant                             
Needed,38–40,138–140,Vacant                              
03/11/11,41,141,Vaisala RS41 with pressure derived from GPS height/ DigiCORA MW41   (Finland)                  
03/11/11,42,142,Vaisala RS41 with pressure derived from GPS height/ AUTOSONDE (Finland)                     
07/05/14,43,143,NanJing Daqiao XGP-3G (China)*                           
07/05/14,44,144,TianJin HuaYunTianYi GTS(U)1 (China)*                           
07/05/14,45,145,Beijing Changfeng CF-06 (China)*                           
07/05/14,46,146,Shanghai Changwang GTS3 (China)*                           
02/05/12,48,148,PAZA-22M/MARL-A                              
,49,149,Not vacant                             
02/11/16,50,150,Meteolabor SRS-C50/Argus (Switzerland)                            
,51,151,Not vacant                             
03/11/11,52,152,Vaisala RS92-NGP/Intermet IMS-2000 (United States)                          
06/05/15,53,153,AVK – I-2012 (Russian Federation)                          
15/05/2019,54,154,Graw DFM-17 (Germany)                            
,55–59,155–159,Not vacant                             
06/05/15,60,160,MARL-A or Vektor-M – I-2012 (Russian Federation)                        
,61,161,Not vacant                             
06/05/15,62,162,MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
07/11/18,63,163,"Modem M20 radiosonde w/thermistor sensor, capacitance relative humidity   sensor, and derived pressure from GPS height (France)             "
07/11/18,64,164,Modem PilotSonde GPS radiosonde (France)                          
Needed,65–66,165–166,Vacant                              
,67–72,167–172,Not vacant                             
02/11/16,73,173,МАRL-A (Russian Federation) – ASPAN-15 (Kazakhstan)                         
,74–76,174–176,Not vacant                             
15/03/2010,77,177,Modem GPSonde M10 (France)                           
,78–81,178–181,Not vacant                             
07/11/12,82,182,Lockheed Martin LMS-6 w/chip thermistor; external   boom mounted polymer capacitive   relative humidity sensor; capacitive pressure   sensor and GPS wind      
07/11/12,83,183,"Vaisala RS92-D/Intermet IMS 1500 w/silicon capacitive   pressure sensor, capacitive wire   temperature sensor, twin thin-film heated   polymer capacitive relative humidity sensor   and RDF wind"
Needed,84,184,Vacant                              
,85-89,185-189,Not vacant                             
,Not available,190,NCAR research dropsonde NRD94 with GPS and Vaisala RS92-based sensor   module (United States)                
,Not available,191,NCAR research dropsonde NRD41 with GPS and Vaisala RS41-based sensor   module (United States)                
,Not available,192,Vaisala/NCAR dropsonde RD94 with GPS and Vaisala RS92-based sensor module   (Finland/United States)                 
,Not available,193,Vaisala/NCAR dropsonde RD41 with GPS and Vaisala RS41-based sensor module   (Finland/United States)                 
,Not available,194–196,Reserved for BUFR only                           
,97–99,197–199,Not vacant                             
,Not available,200–254,Reserved for BUFR only                           
,,255,Missing value
