	station_id_igra	station_name	latitude	longitude	station_id	start_date	end_date	isRadio
66	ARM00087585	BUENOS AIRES	-34.58	-58.48	87585	1957	1957	True
67	ARM00087596	PUNTA INDIO B.A.	-35.367	-57.283	87596	1975	1978	True
68	ARM00087623	SANTA ROSA AERO	-36.5667	-64.2667	87623	1965	2021	True
69	ARM00087715	NEUQUEN AERO	-38.95	-68.1333	87715	1957	2021	True
70	ARM00087748	COMANDANTE ESPORA	-38.7333	-62.1667	87748	1964	1993	True
71	ARM00087827	ALMIRANTE ZAR	-43.2333	-65.3	87827	1973	1975	True
72	ARM00087860	COMODORO RIVADAVIA AERO	-45.7833	-67.5	87860	1958	2021	True
73	ARM00087926	RIO GALLEGOS B. A.	-51.6333	-69.2167	87926	1967	1977	True
74	ARM00087934	RIO GRANDE AIRPORT	-53.8	-67.75	87934	1977	1984	True
75	ARM00087938	USHUAIA	-54.8	-68.3167	87938	1957	1967	True
76	ARM00088946	CORBETA URUGUAY DN	-59.45	-27.267	88946	1980	1981	True
77	ASM00094120	DARWIN AIRPORT	-12.4239	130.8925	94120	1943	2021	True
78	ASM00094150	GOVE AIRPORT	-12.2742	136.8203	94150	1985	2021	True
79	ASM00094170	WEIPA AERO	-12.6778	141.9208	94170	1993	2021	True
80	ASM00094175	THURSDAY IL/HORN IL	-10.583	142.217	94175	1951	1993	True
81	ASM00094203	BROOME AIRPORT	-17.9475	122.2353	94203	1950	2021	True
82	ASM00094205	DERBY	-17.3167	123.6333	94205	1972	1981	True
83	ASM00094212	HALLS CREEK AIRPORT	-18.2292	127.6636	94212	1950	2016	True
84	ASM00094234	DALY WATERS	-16.2667	133.3833	94234	1948	1970	True
85	ASM00094238	TENNANT CREEK AIRPORT	-19.6422	134.1833	94238	1969	2012	True
86	ASM00094259	BURKETOWN	-17.7333	139.5333	94259	1987	1987	True
87	ASM00094266	NORMANTON AIRPORT	-17.6833	141.0667	94266	1950	1951	True
88	ASM00094287	CAIRNS AERO	-16.8736	145.7458	94287	1947	2014	True
89	ASM00094294	TOWNSVILLE AERO	-19.2483	146.7661	94294	1943	2020	True
90	ASM00094299	WILLIS ISLAND	-16.2833	149.965	94299	1947	2021	True
91	ASM00094300	CARNARVON AIRPORT	-24.8878	113.67	94300	1950	2012	True
92	ASM00094302	LEARMONTH AIRPORT	-22.2406	114.0967	94302	1975	2021	True
93	ASM00094305	ONSLOW	-21.6333	115.1167	94305	1950	1975	True
94	ASM00094312	PORT HEDLAND AIRPORT	-20.3725	118.6317	94312	1950	2021	True
95	ASM00094326	ALICE SPRINGS AIRPORT	-23.795	133.8889	94326	1946	2021	True
96	ASM00094332	MOUNT ISA AERO	-20.6778	139.4875	94332	1975	2021	True
97	ASM00094335	CLONCURRY	-20.6667	140.5	94335	1943	1975	True
98	ASM00094346	LONGREACH AERO	-23.4372	144.2769	94346	1966	2017	True
99	ASM00094367	MACKAY M.O	-21.1172	149.2169	94367	1959	2016	True
100	ASM00094374	ROCKHAMPTON AERO	-23.3753	150.4775	94374	1943	2021	True
101	ASM00094380	GLADSTONE	-23.85	151.25	94380	1957	1993	True
102	ASM00094403	GERALDTON AIRPORT	-28.8044	114.6989	94403	1950	2021	True
103	ASM00094430	MEEKATHARRA AIRPORT	-26.6136	118.5372	94430	1951	2021	True
104	ASM00094461	GILES METEOROLOGICAL OFFICE	-25.0342	128.3011	94461	1956	2021	True
105	ASM00094476	OODNADATTA	-27.55	135.4833	94476	1948	1985	True
106	ASM00094510	CHARLEVILLE AERO	-26.4139	146.2558	94510	1942	2021	True
107	ASM00094568	AMBERLEY	-27.65	152.7167	94568	1949	1955	True
108	ASM00094578	BRISBANE AERO	-27.3917	153.1292	94578	1943	2021	True
109	ASM00094610	PERTH AIRPORT	-31.9275	115.9764	94610	1948	2021	True
110	ASM00094637	KALGOORLIE-BOULDER AIRPORT	-30.7847	121.4533	94637	1950	2021	True
111	ASM00094638	ESPERANCE	-33.83	121.8925	94638	1969	2021	True
112	ASM00094646	FORREST AIRPORT	-30.833	128.1	94646	1950	1995	True
113	ASM00094647	EUCLA	-31.6667	128.8667	94647	1995	2012	True
114	ASM00094653	CEDUNA AMO	-32.1297	133.6975	94653	1950	2021	True
115	ASM00094659	WOOMERA AERODROME	-31.1558	136.8053	94659	1949	2021	True
116	ASM00094672	ADELAIDE AIRPORT	-34.9525	138.5203	94672	1945	2021	True
117	ASM00094693	MILDURA AIRPORT	-34.2358	142.0867	94693	1950	2013	True
118	ASM00094703	BOURKE (S23'05'11'17)	-30.0833	145.9667	94703	1948	1948	True
119	ASM00094711	COBAR MO	-31.4839	145.8294	94711	1962	2021	True
120	ASM00094723	WELLINGTON	-32.5667	148.95	94723	1947	1950	True
121	ASM00094750	NOWRA RAN AIR STATION AWS	-34.9469	150.5353	94750	1950	2021	True
122	ASM00094767	SYDNEY AIRPORT AMO	-33.9464	151.1731	94767	1946	2021	True
123	ASM00094773	ARMIDALE	-30.5167	151.65	94773	1947	1949	True
124	ASM00094776	WILLIAMTOWN RAAF	-32.7933	151.8358	94776	1944	2021	True
125	ASM00094791	COFFS HARBOUR MO	-30.3108	153.1186	94791	1951	2013	True
126	ASM00094802	ALBANY AIRPORT	-34.9414	117.8022	94802	1965	2021	True
127	ASM00094821	MOUNT GAMBIER AERO	-37.7472	140.7739	94821	1945	2021	True
128	ASM00094865	LAVERTON AERODROME	-37.867	144.75	94865	1948	1999	True
129	ASM00094866	MELBOURNE AIRPORT	-37.6656	144.8322	94866	1946	2021	True
130	ASM00094907	EAST SALE (AUS-AFB)	-38.1	147.1333	94907	1950	2009	True
131	ASM00094910	WAGGA WAGGA AMO	-35.1583	147.4572	94910	1946	2021	True
132	ASM00094926	CANBERRA AIRPORT	-35.3	149.183	94926	1947	2005	True
133	ASM00094968	LAUNCESTON AIRPORT	-41.533	147.2	94968	1938	2003	True
134	ASM00094970	HOBART	-42.8833	147.3333	94970	1949	1953	True
135	ASM00094974	GEOGERTOWN	-42.2	145.05	94974	1948	1958	True
136	ASM00094975	HOBART AIRPORT	-42.8339	147.5033	94975	1953	2021	True
137	ASM00094995	LORD HOWE ISLAND AERO	-31.5422	159.0786	94995	1950	2021	True
138	ASM00094998	MACQUARIE ISLAND	-54.4994	158.937	94998	1948	2021	True
139	ASM00095527	MOREE AERO	-29.4897	149.8472	95527	1964	2021	True
140	ASM00095607	LUDLOW	-33.6	115.4667	95607	1942	1944	True
141	ASXUA942005	TALGARNO	-19.28	121.5	42005	1960	1961	True
142	ASXUA946505	MARALINGA	-30.01	131.583	46505	1955	1965	True
143	AUM00011010	LINZ/HOERSCHING-FLUGHAFEN	48.2353	14.1881	11010	1987	2019	True
144	AUM00011035	WIEN/HOHE WARTE	48.2486	16.3564	11035	1910	2019	True
145	AUM00011120	INNSBRUCK-FLUGHAFEN	47.2603	11.3439	11120	1998	2019	True
146	AUM00011240	GRAZ-THALERHOF-FLUGHAFEN	46.9931	15.4392	11240	1987	2019	True
147	AYM00088967	GENERAL BELGRANO	-77.9667	-38.8	88967	1970	1975	True
148	AYM00089001	SANAE	-70.317	-2.367	89001	1957	1992	True
149	AYM00089002	NEUMAYER	-70.6667	-8.25	89002	1984	2021	True
150	AYM00089009	AMUNDSEN-SCOTT	-90.0	0.0	89009	1961	2021	True
151	AYM00089022	HALLEY	-75.445	-26.2181	89022	1957	2021	True
152	AYM00089050	BELLINGSHAUSEN AWS	-62.183	-58.883	89050	1970	1999	True
153	AYM00089051	PETREL NAS	-63.4667	-56.2833	89051	1969	1972	True
154	AYM00089055	BASE MARAMBIO	-64.2333	-56.7167	89055	1982	2021	True
155	AYM00089062	ROTHERA	-67.5661	-68.1297	89062	2002	2021	True
156	AYM00089063	FARADAY	-65.25	-64.2667	89063	1954	1982	True
157	AYM00089125	BYRD STN	-80.017	-119.533	89125	1957	1979	True
158	AYM00089512	NOVOLAZAREVSKAJA	-70.7678	11.8317	89512	1969	2021	True
159	AYM00089522	BASE ROI BAUDOUIN	-70.4333	24.3167	89522	1958	1959	True
160	AYM00089532	SYOWA	-69.0053	39.5811	89532	1959	2021	True
161	AYM00089542	MOLODEZNAJA	-67.667	45.85	89542	1969	1998	True
162	AYM00089557	SOVIETSKAVA	-78.4	87.583	89557	1958	1958	True
163	AYM00089564	MAWSON	-67.6017	62.8753	89564	1954	2021	True
164	AYM00089571	DAVIS	-68.5744	77.9672	89571	1957	2021	True
165	AYM00089592	MIRNYJ	-66.5519	93.0147	89592	1957	2021	True
166	AYM00089593	PIONERSKAVA	-69.73	95.05	89593	1958	1958	True
167	AYM00089601	BUNGER OASIS	-66.27	100.73	89601	1957	1958	True
168	AYM00089606	VOSTOK	-78.45	106.867	89606	1958	1991	True
169	AYM00089611	CASEY	-66.2825	110.5231	89611	1957	2021	True
170	AYM00089625	CONCORDIA	-75.1017	123.4119	89625	2006	2021	True
171	AYM00089642	DUMONT D'URVILLE	-66.6631	140.0011	89642	1951	2021	True
172	AYM00089657	LENINGRADSKAJA	-69.5	159.4	89657	1983	1991	True
173	AYM00089662	MARIO ZUCHELLI STATION	-74.6958	164.0922	89662	1987	2021	True
174	AYM00089664	MCMURDO	-77.85	166.6667	89664	1956	2021	True
175	AYM00089671	ADARE HALLETT	-72.3	170.2167	89671	1957	1973	True
176	AYW00057401	ELLSWORTH IGY	-77.7333	-41.1167	57401	1957	1962	True
177	AYW00067401	LITTLE ROCKFORD	-79.25	-147.5	67401	1960	1962	True
178	AYW00067402	LITTLE ROCKFORD	-76.2667	-147.5	67402	1962	1965	True
179	AYXUA891755	LITTLE AMERICA	-78.2	-162.25	91755	1956	1958	True
180	AYXUAE05498	LITTLE AMERICA I	-78.57	-163.93	05498	1929	1935	True
181	AYXUAE05532	LITTLE AMERICA	-78.5	-163.8	05532	1940	1940	True
182	BAM00040427	BAHRAIN/MUHARRAQ	26.267	50.617	40427	1928	1974	True
183	BBM00078954	GRANTLEY ADAMS	13.0667	-59.4833	78954	1965	2021	True
184	BCM00068032	MAUN	-19.9833	23.4167	68032	1957	2012	True
185	BCM00068040	LETLHAKANE	-21.417	25.6	68040	1997	2006	True
186	BCM00068054	FRANCISTOWN	-21.217	27.5	68054	1988	1992	True
187	BCM00068240	SERETSE KHAMA INTERNATIONAL AI	-24.55	25.9167	68240	1985	2011	True
188	BCM00068244	GABORONE	-24.667	25.917	68244	1973	1984	True
189	BCM00068328	TSABONG	-26.05	22.45	68328	1989	2004	True
190	BDM00078016	L F WADE INTERNATIONAL AIRPORT	32.3669	-64.6772	78016	1946	2021	True
191	BEM00006400	KOKSIJDE	51.083	2.65	06400	1999	2002	True
192	BEM00006447	UCCLE	50.7969	4.3581	06447	1949	2015	True
193	BEM00006458	BEAUVECHAIN	50.7456	4.7633	06458	2005	2021	True
194	BEM00006476	ST-HUBERT	50.033	5.4	06476	1964	2006	True
195	BEM00006496	ELSENBORN	50.4822	6.1814	06496	1999	2021	True
196	BFM00078063	GOLD ROCK CREEK	26.6167	-78.3667	78063	1951	1970	True
197	BFM00078073	NASSAU AIRPORT NEW PROVIDENCE	25.05	-77.4667	78073	1977	2020	True
198	BFM00078076	ELEUTHERA ISLAND	25.2667	-76.3	78076	1952	1970	True
199	BFM00078107	MAYAGUAN	22.37	-73.03	78107	1955	1957	True
200	BGM00041859	RANGPUR	25.7333	89.2333	41859	1929	2021	True
201	BGM00041883	BOGRA	24.85	89.3667	41883	1949	2021	True
202	BGM00041891	SYLHET	24.9	91.8833	41891	1953	2021	True
203	BGM00041907	ISHWARDI	24.1333	89.05	41907	1976	2021	True
204	BGM00041923	DHAKA	23.7667	90.3833	41923	1938	2021	True
205	BGM00041936	JESSORE	23.1833	89.1667	41936	1982	2021	True
206	BGM00041943	FENI	23.0333	91.4167	41943	1982	2021	True
207	BGM00041950	BARISAL	22.75	90.3667	41950	1977	2021	True
208	BGM00041977	CHITTAGONG (AMBAGAN)	22.35	91.8167	41977	1928	2021	True
209	BGM00041992	COX'S BAZAR	21.4333	91.9333	41992	1951	2021	True
210	BGXUAC03368	LALMANIR HAT	25.88	89.43	03368	1944	1946	True
211	BGXUAE05433	CHATTAGRAM	22.25	91.82	05433	1938	1942	True
212	BGXUAE05797	DACCA	23.62	90.05	05797	1928	1935	True
213	BHM00078583	BELIZE/PHILLIP GOLDSTON INTL.	17.5333	-88.3	78583	1980	2021	True
214	BLM00085041	COBIJA	-11.0333	-68.7833	85041	2002	2003	True
215	BLM00085154	TRINIDAD	-14.8167	-64.9167	85154	1944	2003	True
216	BLM00085201	LA PAZ/ALTO	-16.517	-68.183	85201	1945	2003	True
217	BLM00085245	SANTA CRUZ/EL TROMPILLO	-17.8	-63.1833	85245	1944	2004	True
218	BLM00085268	ROBORE	-18.3167	-59.7667	85268	2002	2003	True
219	BLXUAE04835	COCHABAMBA	-17.38	-66.17	04835	1944	1946	True
220	BLXUAE04836	GUAYARAMERIN	-10.82	-65.37	04836	1944	1946	True
221	BLXUAE04838	RURRENABAQUE	-14.45	-67.53	04838	1946	1946	True
222	BLXUAE04841	YACUIBA	-22.03	-63.68	04841	1944	1946	True
223	BMM00048008	MYITKYINA	25.3667	97.4	48008	1973	1998	True
224	BMM00048042	MANDALAY	21.983	96.1	48042	1928	1998	True
225	BMM00048053	MEIKTILA	20.883	95.9	48053	1962	1998	True
226	BMM00048060	KENGTUNG	21.3	99.617	48060	1983	1984	True
227	BMM00048062	SITTWE	20.133	92.883	48062	1926	1985	True
228	BMM00048080	SANDOWAY	18.467	94.35	48080	1933	1993	True
229	BMM00048094	PATHEIN	16.767	94.767	48094	1973	2002	True
230	BMM00048096	MINGALADON	16.9	96.183	48096	1981	1983	True
231	BMM00048097	YANGON	16.7667	96.1667	48097	1928	2021	True
232	BMM00048108	DAWEI	14.1	98.2167	48108	1935	2002	True
233	BMM00048109	COCO ISLAND	14.117	93.367	48109	1973	1985	True
234	BMM00048110	MERGUI	12.433	98.6	48110	1941	1998	True
235	BMM00048112	VICTORIA POINT	9.967	98.583	48112	1932	1993	True
236	BNM00065306	KANDI	11.1333	2.9333	65306	1940	2019	True
237	BNM00065330	PARAKOU	9.35	2.6167	65330	1973	2021	True
238	BNM00065344	COTONOU	6.35	2.3833	65344	1940	2021	True
239	BNXUAAW5331	TCHAOUROU	8.8667	2.6	W5331	1942	1957	True
240	BOM00026850	MINSK	53.933	27.633	26850	1939	1998	True
241	BOM00033008	BREST	52.1167	23.6833	33008	1951	2021	True
242	BOM00033036	MOZYR (AMOS)	52.05	29.25	33036	1957	1969	True
243	BOM00033041	GOMEL	52.4019	30.9631	33041	1970	2021	True
244	BPM00091517	HONIARA	-9.4167	159.9667	91517	1959	2011	True
245	BPM00091541	SANTA CRUZ ISLAND	-10.7	165.8	91541	1992	1993	True
246	BRM00081729	MANACAPURU	-3.2944	-60.6283	81729	2014	2015	True
247	BRM00082022	BOA VISTA (AERO)	2.8333	-60.7	82022	1977	2021	True
248	BRM00082026	TIRIOS	2.2239	-55.9472	82026	2006	2021	True
249	BRM00082099	MACAPA (AERO)	0.05	-51.0667	82099	2005	2021	True
250	BRM00082107	SAO GABRIEL DA CACHOEIRA	-0.1167	-66.9667	82107	2008	2021	True
251	BRM00082193	BELEM (AERO)	-1.3833	-48.4833	82193	1943	2021	True
252	BRM00082244	SANTAREM (AERO)	-2.4333	-54.7167	82244	1973	2021	True
253	BRM00082281	SAO LUIZ (AERO)	-2.6	-44.2333	82281	1971	2021	True
254	BRM00082287	PARNAIBA	-3.083	-41.783	82287	1973	1979	True
255	BRM00082332	MANAUS (AERO)	-3.15	-59.9833	82332	1967	2021	True
256	BRM00082397	FORTALEZA	-3.7667	-38.6	82397	1973	2019	True
257	BRM00082400	FERNANDO DE NORONHA	-3.85	-32.4167	82400	1958	2021	True
258	BRM00082411	TABATINGA (AERO)	-4.25	-69.9333	82411	2006	2021	True
259	BRM00082532	MANICORE (AERO)	-5.8167	-61.2833	82532	2006	2021	True
260	BRM00082571	BARRA DO CORDA	-5.5	-45.267	82571	1977	1979	True
261	BRM00082579	TERESINA	-5.05	-42.817	82579	1973	1978	True
262	BRM00082586	QUIXERAMOBIM	-5.2	-39.3	82586	1974	1979	True
263	BRM00082599	NATAL (AERO)	-5.9167	-35.25	82599	1943	2021	True
264	BRM00082640	JACAREACANGA	-6.267	-57.733	82640	1973	1975	True
265	BRM00082678	FLORIANO	-6.7667	-43.0167	82678	1971	2019	True
266	BRM00082705	CRUZEIRO DO SUL (AERO)	-7.5833	-72.7667	82705	2004	2021	True
267	BRM00082765	CAROLINA	-7.3333	-47.4667	82765	1970	2020	True
268	BRM00082784	BARBALHA	-7.317	-39.3	82784	1974	1979	True
269	BRM00082791	PATOS	-7.017	-37.267	82791	1976	1979	True
270	BRM00082824	PORTO VELHO (AERO)	-8.7667	-63.9167	82824	1977	2021	True
271	BRM00082900	RECIFE	-8.05	-34.9167	82900	1952	2019	True
272	BRM00082917	RIO BRANCO (AERO)	-10.0	-67.8	82917	2004	2021	True
273	BRM00082930	CACHIMBO AERO	-9.333	-54.967	82930	1973	1986	True
274	BRM00082965	ALTA FLORESTA (AERO)	-9.8667	-56.1	82965	1987	2021	True
275	BRM00082975	BOM JESUS	-9.1	-44.117	82975	1977	1979	True
276	BRM00082983	PETROLINA	-9.3833	-40.4833	82983	1970	2020	True
277	BRM00082993	MACEIO (AEROPORTO)	-9.517	-35.783	82993	1973	1979	True
278	BRM00083063	PORTO NACIONAL	-10.7	-48.4	83063	1973	1979	True
279	BRM00083096	ARACAJU	-10.917	-37.05	83096	1974	1979	True
280	BRM00083182	IRECE	-11.3	-41.867	83182	1975	1979	True
281	BRM00083208	VILHENA (AERO)	-12.7	-60.1	83208	1967	2021	True
282	BRM00083229	SALVADOR	-13.0167	-38.5167	83229	1970	2018	True
283	BRM00083236	BARREIRAS	-12.15	-45.0	83236	1973	1979	True
284	BRM00083288	BOM JESUS DA LAPA	-13.2667	-43.4167	83288	1970	2019	True
285	BRM00083344	VITORIA DA CONQUIST	-14.95	-40.883	83344	1976	1977	True
286	BRM00083361	CUIABA	-15.6	-56.1	83361	1991	1993	True
287	BRM00083362	CUIABA (AERO)	-15.65	-56.1	83362	1974	2021	True
288	BRM00083378	BRASILIA (AERO)	-15.8667	-47.9333	83378	1966	2021	True
289	BRM00083498	CARAVELAS	-17.7333	-39.25	83498	1975	2016	True
290	BRM00083525	UBERLANDIA (AERO)	-18.8833	-48.2167	83525	2006	2021	True
291	BRM00083554	CORUMBA (AERO)	-19.0	-57.6667	83554	2002	2021	True
292	BRM00083566	CONFINS (AERO)	-19.6167	-43.9667	83566	1973	2021	True
293	BRM00083576	UBERABA	-19.783	-47.967	83576	1973	1973	True
294	BRM00083612	CAMPO GRANDE (AERO)	-20.4667	-54.6667	83612	1966	2021	True
295	BRM00083649	VITORIA (AERO)	-20.2667	-40.2833	83649	1973	2021	True
296	BRM00083650	TRINDADE (ILHA)	-20.5	-29.3167	83650	1967	2019	True
297	BRM00083746	GALEAO	-22.8167	-43.25	83746	1961	2021	True
298	BRM00083768	LONDRINA (AERO)	-23.3333	-51.1333	83768	1973	2021	True
299	BRM00083779	MARTE (AERO)	-23.5	-46.6333	83779	2000	2021	True
300	BRM00083780	SAO PAULO	-23.617	-46.65	83780	1955	2000	True
301	BRM00083827	FOZ DO IGUACU (AERO)	-25.5167	-54.5833	83827	1974	2021	True
302	BRM00083840	CURITIBA (AERO)	-25.5167	-49.1667	83840	1965	2021	True
303	BRM00083899	FLORIANOPOLIS (AERO)	-27.6667	-48.55	83899	1973	2021	True
304	BRM00083928	URUGUAIANA (AERO)	-29.7833	-57.0333	83928	1973	2021	True
305	BRM00083937	SANTA MARIA (AERO)	-29.7167	-53.7	83937	2006	2021	True
306	BRM00083971	PORTO ALEGRE (AERO)	-30.0	-51.1833	83971	1950	2021	True
307	BRM00083981	BAGE (AEROPORTO)	-31.35	-54.117	83981	1973	1979	True
308	BUM00015614	SOFIA (OBSERV.)	42.65	23.3833	15614	1955	2021	True
309	BUM00015730	KURDJALI	41.65	25.367	15730	1966	1991	True
310	BXM00096315	BRUNEI AIRPORT	4.9333	114.9333	96315	1981	2021	True
311	BXM00096323	KUALA BELAIT	4.583	114.2	96323	1999	2021	True
312	CAM00071043	NORMAN WELLS UA	65.2833	-126.75	71043	1951	2021	True
313	CAM00071051	SACHS HARBOUR	72.0	-125.27	71051	1955	1986	True
314	CAM00071069	SLAVE LAKE AIRPORT	55.283	-114.783	71069	1973	1994	True
315	CAM00071072	MOULD BAY	76.25	-119.35	71072	1948	1997	True
316	CAM00071074	ISACHSEN	78.8	-103.5	71074	1948	1978	True
317	CAM00071081	HALL BEACH UA	68.7667	-81.2167	71081	1957	2021	True
318	CAM00071082	ALERT UA	82.5	-62.3333	71082	1950	2021	True
319	CAM00071090	CLYDE RIVER	70.45	-68.55	71090	1950	1970	True
320	CAM00071109	PORT HARDY UA	50.685	-127.3758	71109	1951	2021	True
321	CAM00071115	VERNON AUTO	50.233	-119.283	71115	1972	1993	True
322	CAM00071119	EDMONTON STONY PLAIN	53.5475	-114.1083	71119	1946	2021	True
323	CAM00071120	COLD LAKE	54.417	-110.283	71120	1973	2019	True
324	CAM00071121	EDMONTON NAMAO ARPT	53.667	-113.467	71121	1985	1999	True
325	CAM00071123	EDMONTON INTL ARPT	53.317	-113.583	71123	1973	1985	True
326	CAM00071124	PRIMROSE LAKE	54.75	-110.05	71124	1968	2010	True
327	CAM00071129	KINDERSLEY ARPT	51.517	-109.183	71129	1991	1998	True
328	CAM00071145	ISLAND LAKE ARPT	53.85	-94.65	71145	1984	1996	True
329	CAM00071197	PORT-AUX-BASQUES	47.567	-59.15	71197	1994	1997	True
330	CAM00071203	KELOWNA UA	49.9408	-119.4003	71203	1994	2017	True
331	CAM00071450	ELBOW CS	51.133	-106.583	71450	1988	1989	True
332	CAM00071524	LASSOMPTION CDA	45.817	-73.433	71524	1996	1996	True
333	CAM00071569	BRATT'S LAKE UA	50.2	-104.7	71569	2004	2011	True
334	CAM00071600	SABLE ISLAND	43.9322	-60.0094	71600	1954	2019	True
335	CAM00071603	YARMOUTH UA	43.8667	-66.1	71603	1988	2021	True
336	CAM00071621	TRENTON ARPT	44.117	-77.533	71621	1999	2001	True
337	CAM00071625	PETAWAWA	45.95	-77.317	71625	1986	2005	True
338	CAM00071627	MONTREAL/TRUDEAU INT	45.467	-73.733	71627	1973	1995	True
339	CAM00071701	GAGETOWN A	45.8333	-66.4333	71701	1971	2021	True
340	CAM00071716	VALCARTIER AIRPORT	46.9	-71.483	71716	1977	2006	True
341	CAM00071722	MANIWAKI UA	46.3019	-76.0061	71722	1954	2021	True
