	file	kind	primary_id	primary_id_scheme	record_number	secondary_id	secondary_id_scheme	station_name	station_abbreviation	alternative_name	station_crs	longitude	latitude	local_gravity	start_date	end_date	station_type	platform_type	platform_sub_type	operating_institute	operating_territory	city	contact	role	observing_frequency	reporting_time	telecommunication_method	station_automation	measuring_system_model	measuring_system_id	observed_variables	comment	optional_data	bbox_min_longitude	bbox_max_longitude	bbox_min_latitude	bbox_max_latitude	metadata_contact	metadata_contact_role	elevation
13	era5.101.bfr,era5.conv._10001	COORDINATE_ISSUES	0-20666-0-10001	 	13	10001	 	 	 	 	 			 	19590201	19711109	 	 	 	 	 	 	 	 	 	 	 	 	 	 	106,107,117,126,137,138,139,140,39	 	 	 	 	 	 	 	 	
14	era5.102.bfr,era5.conv._10002	COORDINATE_ISSUES	0-20666-0-10002	 	14	10002	 	 	 	 	 			 	19600302	19731221	 	 	 	 	 	 	 	 	 	 	 	 	 	 	106,107,117,126,137,138,139,140,39	 	 	 	 	 	 	 	 	
15	era5.104.bfr,era5.conv._10004	COORDINATE_ISSUES	0-20666-0-10004	 	15	10004	 	 	 	 	 			 	19671110	19710816	 	 	 	 	 	 	 	 	 	 	 	 	 	 	106,107,117,126,137,138,139,140,39	 	 	 	 	 	 	 	 	
16	era5.105.bfr,era5.conv._10005	COORDINATE_ISSUES	0-20666-0-10005	 	16	10005	 	 	 	 	 			 	19570901	19731021	 	 	 	 	 	 	 	 	 	 	 	 	 	 	106,107,117,126,137,138,139,140,39	 	 	 	 	 	 	 	 	
17	era5.106.bfr,era5.conv._10006	COORDINATE_ISSUES	0-20666-0-10006	 	17	10006	 	 	 	 	 			 	19570902	19731129	 	 	 	 	 	 	 	 	 	 	 	 	 	 	106,107,117,126,137,138,139,140,39	 	 	 	 	 	 	 	 	
18	era5.1015.bfr,era5.conv._10015	COORDINATE_ISSUES	0-20666-0-10015	 	18	10015	 	 	 	 	 			 	19710513	19730108	 	 	 	 	 	 	 	 	 	 	 	 	 	 	106,107,117,126,137,138,139,140,39	 	 	 	 	 	 	 	 	
19	era5.conv._10019	COORDINATE_ISSUES	0-20666-0-10019	 	19	10019	 	 	 	 	 			 	19710417	19731002	 	 	 	 	 	 	 	 	 	 	 	 	 	 	106,107,117,126,137,138,139,140,39	 	 	 	 	 	 	 	 	
20	era5.conv._10020	COORDINATE_ISSUES	0-20666-0-10020	 	20	10020	 	 	 	 	 			 	19710519	19711124	 	 	 	 	 	 	 	 	 	 	 	 	 	 	106,107,117,126,137,138,139,140,39	 	 	 	 	 	 	 	 	
21	era5.1032.bfr,era5.conv._10032	COORDINATE_ISSUES	0-20666-0-10032	 	21	10032	 	 	 	 	 			 	19710521	19720803	 	 	 	 	 	 	 	 	 	 	 	 	 	 	106,107,117,126,137,138,139,140,39	 	 	 	 	 	 	 	 	
22	era5.1033.bfr,era5.conv._10033	COORDINATE_ISSUES	0-20666-0-10033	 	22	10033	 	 	 	 	 			 	19710519	19731117	 	 	 	 	 	 	 	 	 	 	 	 	 	 	106,107,117,126,137,138,139,140,39	 	 	 	 	 	 	 	 	
23	era5.conv._10040	COORDINATE_ISSUES	0-20666-0-10040	 	23	10040	 	 	 	 	 			 	19710513	19730211	 	 	 	 	 	 	 	 	 	 	 	 	 	 	106,107,117,126,137,138,139,140,39	 	 	 	 	 	 	 	 	
24	era5.conv._10051	COORDINATE_ISSUES	0-20666-0-10051	 	24	10051	 	 	 	 	 			 	19710513	19720505	 	 	 	 	 	 	 	 	 	 	 	 	 	 	106,107,117,126,137,138,139,140,39	 	 	 	 	 	 	 	 	
25	era5.1097.bfr,era5.conv._10097	COORDINATE_ISSUES	0-20666-0-10097	 	25	10097	 	 	 	 	 			 	19570831	19710715	 	 	 	 	 	 	 	 	 	 	 	 	 	 	106,107,117,126,137,138,139,140,39	 	 	 	 	 	 	 	 	
26	era5.conv._10098	COORDINATE_ISSUES	0-20666-0-10098	 	26	10098	 	 	 	 	 			 	19730102	19740211	 	 	 	 	 	 	 	 	 	 	 	 	 	 	106,107,117,126,137,138,139,140,39	 	 	 	 	 	 	 	 	
27	era5.10124.bfr,era5.conv._10124	COORDINATE_ISSUES	0-20666-0-10124	 	27	10124	 	 	 	 	 			 	19711018	19711028	 	 	 	 	 	 	 	 	 	 	 	 	 	 	106,107,117,126,137,138,139,140,39	 	 	 	 	 	 	 	 	
28	era5.10135.bfr,era5.conv._10135	COORDINATE_ISSUES	0-20666-0-10135	 	28	10135	 	 	 	 	 			 	19710123	19711021	 	 	 	 	 	 	 	 	 	 	 	 	 	 	106,107,117,126,137,138,139,140,39	 	 	 	 	 	 	 	 	
29	era5.10142.bfr,era5.conv._10142	COORDINATE_ISSUES	0-20666-0-10142	 	29	10142	 	 	 	 	 			 	19710124	19710831	 	 	 	 	 	 	 	 	 	 	 	 	 	 	106,107,117,126,137,138,139,140,39	 	 	 	 	 	 	 	 	
30	era5.10150.bfr,era5.conv._10150	COORDINATE_ISSUES	0-20666-0-10150	 	30	10150	 	 	 	 	 			 	19710112	19721014	 	 	 	 	 	 	 	 	 	 	 	 	 	 	106,107,117,126,137,138,139,140,39	 	 	 	 	 	 	 	 	
31	era5.conv._10174	COORDINATE_ISSUES	0-20666-0-10174	 	31	10174	 	 	 	 	 			 	19710730	19720526	 	 	 	 	 	 	 	 	 	 	 	 	 	 	106,107,117,126,137,138,139,140,39	 	 	 	 	 	 	 	 	
32	era5.conv._10200,uadb_trhc_10200.txt,uadb_windc_10200.txt	COORDINATE_ISSUES	0-20666-0-10200	 	32	10200	 	 	 	 	 			 	19520427	20110831	 	 	 	 	 	 	 	 	 	 	 	 	 	 	106,107,117,126,137,138,139,140,39	 	 	 	 	 	 	 	 	
33	era5.10261.bfr,era5.conv._10261	COORDINATE_ISSUES	0-20666-0-10261	 	33	10261	 	 	 	 	 			 	19730209	19730225	 	 	 	 	 	 	 	 	 	 	 	 	 	 	106,107,117,126,137,138,139,140,39	 	 	 	 	 	 	 	 	
34	era5.10271.bfr,era5.conv._10271	COORDINATE_ISSUES	0-20666-0-10271	 	34	10271	 	 	 	 	 			 	19720821	19721214	 	 	 	 	 	 	 	 	 	 	 	 	 	 	106,107,117,126,137,138,139,140,39	 	 	 	 	 	 	 	 	
35	era5.10289.bfr,era5.conv._10289	COORDINATE_ISSUES	0-20666-0-10289	 	35	10289	 	 	 	 	 			 	19720128	19720130	 	 	 	 	 	 	 	 	 	 	 	 	 	 	106,107,117,126,137,138,139,140,39	 	 	 	 	 	 	 	 	
36	era5.10376.bfr,era5.conv._10376	COORDINATE_ISSUES	0-20666-0-10376	 	36	10376	 	 	 	 	 			 	19730526	19730602	 	 	 	 	 	 	 	 	 	 	 	 	 	 	106,107,117,126,137,138,139,140,39	 	 	 	 	 	 	 	 	
37	era5.10379.bfr,era5.conv._10379	COORDINATE_ISSUES	0-20666-0-10379	 	37	10379	 	 	 	 	 			 	19730802	19731002	 	 	 	 	 	 	 	 	 	 	 	 	 	 	106,107,117,126,137,138,139,140,39	 	 	 	 	 	 	 	 	
38	era5.conv._10493	COORDINATE_ISSUES	0-20666-0-10493	 	38	10493	 	 	 	 	 			 	19710415	19710515	 	 	 	 	 	 	 	 	 	 	 	 	 	 	106,107,117,126,137,138,139,140,39	 	 	 	 	 	 	 	 	
39	era5.conv._10494	COORDINATE_ISSUES	0-20666-0-10494	 	39	10494	 	 	 	 	 			 	19710503	19711121	 	 	 	 	 	 	 	 	 	 	 	 	 	 	106,107,117,126,137,138,139,140,39	 	 	 	 	 	 	 	 	
40	era5.conv._10525	COORDINATE_ISSUES	0-20666-0-10525	 	40	10525	 	 	 	 	 			 	19710602	19711021	 	 	 	 	 	 	 	 	 	 	 	 	 	 	106,107,117,126,137,138,139,140,39	 	 	 	 	 	 	 	 	
41	era5.10687.bfr,era5.conv._10687,uadb_trhc_10687.txt,uadb_windc_10687.txt	COORDINATE_ISSUES	0-20666-0-10687	 	41	10687	 	 	 	 	 			 	19671004	19950803	 	 	 	 	 	 	 	 	 	 	 	 	 	 	106,107,117,126,137,138,139,140,39	 	 	 	 	 	 	 	 	
42	era5.10822.bfr	COORDINATE_ISSUES	0-20666-0-10822	 	42	10822	 	 	 	 	 			 	19710517	19711121	 	 	 	 	 	 	 	 	 	 	 	 	 	 	106,107,126,137	 	 	 	 	 	 	 	 	
43	era5.10828.bfr,era5.conv._10828	COORDINATE_ISSUES	0-20666-0-10828	 	43	10828	 	 	 	 	 			 	19710415	19710503	 	 	 	 	 	 	 	 	 	 	 	 	 	 	106,107,117,126,137,138,139,140,39	 	 	 	 	 	 	 	 	
44	era5.conv._10842	COORDINATE_ISSUES	0-20666-0-10842	 	44	10842	 	 	 	 	 			 	19710503	19711006	 	 	 	 	 	 	 	 	 	 	 	 	 	 	106,107,117,126,137,138,139,140,39	 	 	 	 	 	 	 	 	
45	era5.conv._11011	COORDINATE_ISSUES	0-20666-0-11011	 	45	11011	 	 	 	 	 			 	19710830	19730608	 	 	 	 	 	 	 	 	 	 	 	 	 	 	106,107,117,126,137,138,139,140,39	 	 	 	 	 	 	 	 	
46	era5.11501.bfr,era5.conv._11501	COORDINATE_ISSUES	0-20666-0-11501	 	46	11501	 	 	 	 	 			 	19611104	19781231	 	 	 	 	 	 	 	 	 	 	 	 	 	 	106,107,117,126,137,138,139,140,39	 	 	 	 	 	 	 	 	
47	era5.11502.bfr,era5.conv._11502	COORDINATE_ISSUES	0-20666-0-11502	 	47	11502	 	 	 	 	 			 	19721202	19781231	 	 	 	 	 	 	 	 	 	 	 	 	 	 	106,107,117,126,137,138,139,140,39	 	 	 	 	 	 	 	 	
48	era5.121.bfr,era5.conv._12001	COORDINATE_ISSUES	0-20666-0-12001	 	48	12001	 	 	 	 	 			 	19660421	19771231	 	 	 	 	 	 	 	 	 	 	 	 	 	 	106,107,117,126,137,138,139,140,39	 	 	 	 	 	 	 	 	
49	era5.conv._12006	COORDINATE_ISSUES	0-20666-0-12006	 	49	12006	 	 	 	 	 			 	19610311	19781230	 	 	 	 	 	 	 	 	 	 	 	 	 	 	106,107,117,126,137,138,139,140,39	 	 	 	 	 	 	 	 	
50	era5.12105.bfr,era5.conv._12105	COORDINATE_ISSUES	0-20666-0-12105	 	50	12105	 	 	 	 	 			 	19650806	19750725	 	 	 	 	 	 	 	 	 	 	 	 	 	 	106,107,117,126,137,138,139,140,39	 	 	 	 	 	 	 	 	
51	era5.conv._13017	COORDINATE_ISSUES	0-20666-0-13017	 	51	13017	 	 	 	 	 			 	19570901	19710203	 	 	 	 	 	 	 	 	 	 	 	 	 	 	106,107,117,126,137,138,139,140,39	 	 	 	 	 	 	 	 	
52	era5.13897.bfr,era5.conv._13897	COORDINATE_ISSUES	0-20666-0-13897	 	52	13897	 	 	 	 	 			 	19570901	19781231	 	 	 	 	 	 	 	 	 	 	 	 	 	 	106,107,117,126,137,138,139,140,39	 	 	 	 	 	 	 	 	
53	uadb_trhc_1400.txt,uadb_windc_1400.txt	COORDINATE_ISSUES	0-20666-0-1400	 	53	1400	 	 	 	 	 			 	19940201	20231231	 	 	 	 	 	 	 	 	 	 	 	 	 	 	106,107,126,138	 	 	 	 	 	 	 	 	
54	era5.conv._15300,uadb_windc_15300.txt	COORDINATE_ISSUES	0-20666-0-15300	 	54	15300	 	 	 	 	 			 	19760204	19871024	 	 	 	 	 	 	 	 	 	 	 	 	 	 	106,107,117,126,137,138,139,140,39	 	 	 	 	 	 	 	 	
55	era5.conv._15420	COORDINATE_ISSUES	0-20666-0-15420	 	55	15420	 	 	 	 	 			 	19790101	20211231	 	 	 	 	 	 	 	 	 	 	 	 	 	 	106,107,117,126,137,138,139,140,39	 	 	 	 	 	 	 	 	
56	era5.17601.bfr,era5.conv._17601	COORDINATE_ISSUES	0-20666-0-17601	 	56	17601	 	 	 	 	 			 	19570901	19781231	 	 	 	 	 	 	 	 	 	 	 	 	 	 	106,107,117,126,137,138,139,140,39	 	 	 	 	 	 	 	 	
57	era5.17611.bfr	COORDINATE_ISSUES	0-20666-0-17611	 	57	17611	 	 	 	 	 			 	19580516	19721227	 	 	 	 	 	 	 	 	 	 	 	 	 	 	106,107,126,137	 	 	 	 	 	 	 	 	
58	era5.1759.conv.1:10687,era5.conv._1:10687	COORDINATE_ISSUES	0-20666-0-1:10687	 	58	1:10687	 	 	 	 	 			 	19671004	19760330	 	 	 	 	 	 	 	 	 	 	 	 	 	 	106,107,117,126,138,139,140	 	 	 	 	 	 	 	 	
59	era5.conv._1:24726	COORDINATE_ISSUES	0-20666-0-1:24726	 	59	1:24726	 	 	 	 	 			 	19661026	19771231	 	 	 	 	 	 	 	 	 	 	 	 	 	 	106,107,117,126,138,139,140	 	 	 	 	 	 	 	 	
60	era5.1759.conv.1:2527	COORDINATE_ISSUES	0-20666-0-1:2527	 	60	1:2527	 	 	 	 	 			 	19620304	19791231	 	 	 	 	 	 	 	 	 	 	 	 	 	 	106,107,117,126,138	 	 	 	 	 	 	 	 	
61	era5.1759.conv.1:25428,era5.conv._1:25428	COORDINATE_ISSUES	0-20666-0-1:25428	 	61	1:25428	 	 	 	 	 			 	19571111	19791231	 	 	 	 	 	 	 	 	 	 	 	 	 	 	106,107,117,126,138,139,140	 	 	 	 	 	 	 	 	
62	era5.1759.conv.1:30554,era5.conv._1:30554	COORDINATE_ISSUES	0-20666-0-1:30554	 	62	1:30554	 	 	 	 	 			 	19500112	19791231	 	 	 	 	 	 	 	 	 	 	 	 	 	 	106,107,117,126,138,139,140	 	 	 	 	 	 	 	 	
63	era5.1759.conv.1:42182,era5.1761.conv.1:42182,era5.conv._1:42182	COORDINATE_ISSUES	0-20666-0-1:42182	 	63	1:42182	 	 	 	 	 			 	19451101	19791231	 	 	 	 	 	 	 	 	 	 	 	 	 	 	106,107,117,126,138,139,140	 	 	 	 	 	 	 	 	
64	era5.1759.conv.1:42704,era5.conv._1:42704	COORDINATE_ISSUES	0-20666-0-1:42704	 	64	1:42704	 	 	 	 	 			 	19560208	19791230	 	 	 	 	 	 	 	 	 	 	 	 	 	 	106,107,117,126,138,139,140	 	 	 	 	 	 	 	 	
65	era5.1759.conv.1:51156,era5.conv._1:51156	COORDINATE_ISSUES	0-20666-0-1:51156	 	65	1:51156	 	 	 	 	 			 	19590101	19791231	 	 	 	 	 	 	 	 	 	 	 	 	 	 	106,107,117,126,138,139,140	 	 	 	 	 	 	 	 	
66	era5.1759.conv.1:51711,era5.conv._1:51711	COORDINATE_ISSUES	0-20666-0-1:51711	 	66	1:51711	 	 	 	 	 			 	19650807	19791231	 	 	 	 	 	 	 	 	 	 	 	 	 	 	106,107,117,126,138,139,140	 	 	 	 	 	 	 	 	
67	era5.1759.conv.1:52267,era5.conv._1:52267	COORDINATE_ISSUES	0-20666-0-1:52267	 	67	1:52267	 	 	 	 	 			 	19570106	19791231	 	 	 	 	 	 	 	 	 	 	 	 	 	 	106,107,117,126,138,139,140	 	 	 	 	 	 	 	 	
68	era5.1759.conv.1:52323,era5.conv._1:52323	COORDINATE_ISSUES	0-20666-0-1:52323	 	68	1:52323	 	 	 	 	 			 	19571221	19791231	 	 	 	 	 	 	 	 	 	 	 	 	 	 	106,107,117,126,138,139,140	 	 	 	 	 	 	 	 	
69	era5.1759.conv.1:53068,era5.conv._1:53068	COORDINATE_ISSUES	0-20666-0-1:53068	 	69	1:53068	 	 	 	 	 			 	19560821	19791231	 	 	 	 	 	 	 	 	 	 	 	 	 	 	106,107,117,126,138,139,140	 	 	 	 	 	 	 	 	
70	era5.1759.conv.1:53231,era5.conv._1:53231	COORDINATE_ISSUES	0-20666-0-1:53231	 	70	1:53231	 	 	 	 	 			 	19580101	19791231	 	 	 	 	 	 	 	 	 	 	 	 	 	 	106,107,117,126,138,139,140	 	 	 	 	 	 	 	 	
71	era5.1759.conv.1:53513,era5.conv._1:53513	COORDINATE_ISSUES	0-20666-0-1:53513	 	71	1:53513	 	 	 	 	 			 	19581228	19791231	 	 	 	 	 	 	 	 	 	 	 	 	 	 	106,107,117,126,138,139,140	 	 	 	 	 	 	 	 	
72	era5.1759.conv.1:54012,era5.conv._1:54012	COORDINATE_ISSUES	0-20666-0-1:54012	 	72	1:54012	 	 	 	 	 			 	19560820	19791231	 	 	 	 	 	 	 	 	 	 	 	 	 	 	106,107,117,126,138,139,140	 	 	 	 	 	 	 	 	
73	era5.1759.conv.1:54836,era5.conv._1:54836	COORDINATE_ISSUES	0-20666-0-1:54836	 	73	1:54836	 	 	 	 	 			 	19580701	19791231	 	 	 	 	 	 	 	 	 	 	 	 	 	 	106,107,117,126,138,139,140	 	 	 	 	 	 	 	 	
74	era5.1759.conv.1:55279,era5.conv._1:55279	COORDINATE_ISSUES	0-20666-0-1:55279	 	74	1:55279	 	 	 	 	 			 	19561001	19791231	 	 	 	 	 	 	 	 	 	 	 	 	 	 	106,107,117,126,138,139,140	 	 	 	 	 	 	 	 	
75	era5.1759.conv.1:55299,era5.conv._1:55299	COORDINATE_ISSUES	0-20666-0-1:55299	 	75	1:55299	 	 	 	 	 			 	19560820	19791231	 	 	 	 	 	 	 	 	 	 	 	 	 	 	106,107,117,126,138,139,140	 	 	 	 	 	 	 	 	
76	era5.1759.conv.1:56172,era5.conv._1:56172	COORDINATE_ISSUES	0-20666-0-1:56172	 	76	1:56172	 	 	 	 	 			 	19560901	19791231	 	 	 	 	 	 	 	 	 	 	 	 	 	 	106,107,117,126,138,139,140	 	 	 	 	 	 	 	 	
77	era5.1759.conv.1:56374,era5.conv._1:56374	COORDINATE_ISSUES	0-20666-0-1:56374	 	77	1:56374	 	 	 	 	 			 	19560821	19791231	 	 	 	 	 	 	 	 	 	 	 	 	 	 	106,107,117,126,138,139,140	 	 	 	 	 	 	 	 	
78	era5.1759.conv.1:56964,era5.conv._1:56964	COORDINATE_ISSUES	0-20666-0-1:56964	 	78	1:56964	 	 	 	 	 			 	19560821	19791231	 	 	 	 	 	 	 	 	 	 	 	 	 	 	106,107,117,126,138,139,140	 	 	 	 	 	 	 	 	
79	era5.1759.conv.1:57606,era5.conv._1:57606	COORDINATE_ISSUES	0-20666-0-1:57606	 	79	1:57606	 	 	 	 	 			 	19580712	19791230	 	 	 	 	 	 	 	 	 	 	 	 	 	 	106,107,117,126,138,139,140	 	 	 	 	 	 	 	 	
80	era5.1759.conv.1:58040,era5.conv._1:58040	COORDINATE_ISSUES	0-20666-0-1:58040	 	80	1:58040	 	 	 	 	 			 	19580101	19791231	 	 	 	 	 	 	 	 	 	 	 	 	 	 	106,107,126,138,139,140	 	 	 	 	 	 	 	 	
81	era5.1759.conv.1:58150,era5.conv._1:58150	COORDINATE_ISSUES	0-20666-0-1:58150	 	81	1:58150	 	 	 	 	 			 	19590702	19791231	 	 	 	 	 	 	 	 	 	 	 	 	 	 	106,107,117,126,138,139,140	 	 	 	 	 	 	 	 	
82	era5.1759.conv.1:60769,era5.conv._1:60769	COORDINATE_ISSUES	0-20666-0-1:60769	 	82	1:60769	 	 	 	 	 			 	19670202	19791231	 	 	 	 	 	 	 	 	 	 	 	 	 	 	106,107,117,126,138,139,140	 	 	 	 	 	 	 	 	
83	era5.1759.conv.1:65503,era5.conv._1:65503	COORDINATE_ISSUES	0-20666-0-1:65503	 	83	1:65503	 	 	 	 	 			 	19630707	19791231	 	 	 	 	 	 	 	 	 	 	 	 	 	 	106,107,117,126,138,139,140	 	 	 	 	 	 	 	 	
84	era5.1761.conv.1:70133,era5.conv._1:70133	COORDINATE_ISSUES	0-20666-0-1:70133	 	84	1:70133	 	 	 	 	 			 	19421023	19791231	 	 	 	 	 	 	 	 	 	 	 	 	 	 	106,107,117,126,138,139,140	 	 	 	 	 	 	 	 	
85	era5.1761.conv.1:70291,era5.conv._1:70291	COORDINATE_ISSUES	0-20666-0-1:70291	 	85	1:70291	 	 	 	 	 			 	19421001	19570731	 	 	 	 	 	 	 	 	 	 	 	 	 	 	106,107,117,126,138,139,140	 	 	 	 	 	 	 	 	
86	era5.1761.conv.1:70326,era5.conv._1:70326	COORDINATE_ISSUES	0-20666-0-1:70326	 	86	1:70326	 	 	 	 	 			 	19421020	19791231	 	 	 	 	 	 	 	 	 	 	 	 	 	 	106,107,117,126,138,139,140	 	 	 	 	 	 	 	 	
87	era5.1761.conv.1:72202,era5.conv._1:72202	COORDINATE_ISSUES	0-20666-0-1:72202	 	87	1:72202	 	 	 	 	 			 	19450101	19791231	 	 	 	 	 	 	 	 	 	 	 	 	 	 	106,107,117,126,138,139,140	 	 	 	 	 	 	 	 	
88	era5.1761.conv.1:72206,era5.conv._1:72206	COORDINATE_ISSUES	0-20666-0-1:72206	 	88	1:72206	 	 	 	 	 			 	19301101	19791231	 	 	 	 	 	 	 	 	 	 	 	 	 	 	106,107,117,126,138,139,140	 	 	 	 	 	 	 	 	
89	era5.1761.conv.1:72211,era5.conv._1:72211	COORDINATE_ISSUES	0-20666-0-1:72211	 	89	1:72211	 	 	 	 	 			 	19381224	19791231	 	 	 	 	 	 	 	 	 	 	 	 	 	 	106,107,117,126,138,139,140	 	 	 	 	 	 	 	 	
90	era5.1761.conv.1:72214,era5.conv._1:72214	COORDINATE_ISSUES	0-20666-0-1:72214	 	90	1:72214	 	 	 	 	 			 	19400516	19721231	 	 	 	 	 	 	 	 	 	 	 	 	 	 	106,107,117,126,138,139,140	 	 	 	 	 	 	 	 	
91	era5.conv._1:72221	COORDINATE_ISSUES	0-20666-0-1:72221	 	91	1:72221	 	 	 	 	 			 	19400102	19731228	 	 	 	 	 	 	 	 	 	 	 	 	 	 	106,107,117,126,138,139,140	 	 	 	 	 	 	 	 	
92	era5.conv._1:72223	COORDINATE_ISSUES	0-20666-0-1:72223	 	92	1:72223	 	 	 	 	 			 	19391231	19720429	 	 	 	 	 	 	 	 	 	 	 	 	 	 	106,107,117,126,138,139,140	 	 	 	 	 	 	 	 	
93	era5.1761.conv.1:72231,era5.conv._1:72231	COORDINATE_ISSUES	0-20666-0-1:72231	 	93	1:72231	 	 	 	 	 			 	19261021	19670927	 	 	 	 	 	 	 	 	 	 	 	 	 	 	106,107,117,126,138,139,140	 	 	 	 	 	 	 	 	
94	era5.1759.conv.1:72232,era5.conv._1:72232	COORDINATE_ISSUES	0-20666-0-1:72232	 	94	1:72232	 	 	 	 	 			 	19500816	19781231	 	 	 	 	 	 	 	 	 	 	 	 	 	 	106,107,117,126,138,139,140	 	 	 	 	 	 	 	 	
95	era5.1761.conv.1:72253,era5.conv._1:72253	COORDINATE_ISSUES	0-20666-0-1:72253	 	95	1:72253	 	 	 	 	 			 	19390422	19710630	 	 	 	 	 	 	 	 	 	 	 	 	 	 	106,107,117,126,138,139,140	 	 	 	 	 	 	 	 	
96	era5.conv._1:72256	COORDINATE_ISSUES	0-20666-0-1:72256	 	96	1:72256	 	 	 	 	 			 	19400525	19721231	 	 	 	 	 	 	 	 	 	 	 	 	 	 	106,107,117,126,138,139,140	 	 	 	 	 	 	 	 	
97	era5.1761.conv.1:72265,era5.conv._1:72265	COORDINATE_ISSUES	0-20666-0-1:72265	 	97	1:72265	 	 	 	 	 			 	19300616	19791231	 	 	 	 	 	 	 	 	 	 	 	 	 	 	106,107,117,126,138,139,140	 	 	 	 	 	 	 	 	
98	era5.conv._1:72280	COORDINATE_ISSUES	0-20666-0-1:72280	 	98	1:72280	 	 	 	 	 			 	19480914	19731112	 	 	 	 	 	 	 	 	 	 	 	 	 	 	106,107,117,126,138,139,140	 	 	 	 	 	 	 	 	
99	era5.1761.conv.1:72306,era5.conv._1:72306	COORDINATE_ISSUES	0-20666-0-1:72306	 	99	1:72306	 	 	 	 	 			 	19410109	19721228	 	 	 	 	 	 	 	 	 	 	 	 	 	 	106,107,117,126,138,139,140	 	 	 	 	 	 	 	 	
100	era5.1759.conv.1:72327,era5.1761.conv.1:72327,era5.conv._1:72327	COORDINATE_ISSUES	0-20666-0-1:72327	 	100	1:72327	 	 	 	 	 			 	19370701	19791231	 	 	 	 	 	 	 	 	 	 	 	 	 	 	106,107,117,126,138,139,140	 	 	 	 	 	 	 	 	
